epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.6014538407325745,0.751334547996521,0.352282851934433,,,
1,1589,0.6998358368873596,0.8134753704071045,0.5691516399383545,,,
2,2384,0.7294538617134094,0.8280935883522034,0.5998423099517822,,,
3,3179,0.7417756915092468,0.8335338234901428,0.6127454042434692,,,
4,3974,,,,0.7817557454109192,0.8433191776275635,0.6543933153152466
4,3974,0.7536002397537231,0.8396720886230469,0.6258640885353088,,,
5,4769,0.7655709981918335,0.8450892567634583,0.6390672326087952,,,
6,5564,0.7708650231361389,0.8469721674919128,0.6447926759719849,,,
7,6359,0.7833203673362732,0.8529954552650452,0.6592534184455872,,,
8,7154,0.7849358320236206,0.8534471392631531,0.6609963178634644,,,
9,7949,,,,0.7861441373825073,0.8552112579345703,0.6627861857414246
9,7949,0.7920512557029724,0.8565226793289185,0.669323205947876,,,
10,8744,0.7976037263870239,0.8598711490631104,0.6762751340866089,,,
11,9539,0.8019498586654663,0.8613266348838806,0.6812977194786072,,,
12,10334,0.807336151599884,0.8639596700668335,0.68796706199646,,,
13,11129,0.8091720342636108,0.8648097515106201,0.6902311444282532,,,
14,11924,,,,0.81802898645401,0.8689451217651367,0.7014157176017761
14,11924,0.8138551712036133,0.8670193552970886,0.6960582137107849,,,
15,12719,0.8149554133415222,0.8676509857177734,0.6974852681159973,,,
16,13514,0.8213765621185303,0.870526909828186,0.7055976986885071,,,
17,14309,0.8227587342262268,0.8708710074424744,0.7072712182998657,,,
18,15104,0.825901210308075,0.8726692795753479,0.7114072442054749,,,
19,15899,,,,0.8362625241279602,0.8740018606185913,0.7243743538856506
19,15899,0.8286710381507874,0.8737810254096985,0.7149581909179688,,,
20,16694,0.8317535519599915,0.8755396008491516,0.7190991044044495,,,
21,17489,0.8349399566650391,0.8773071765899658,0.7233849763870239,,,
22,18284,0.8346171975135803,0.8768822550773621,0.7228699922561646,,,
23,19079,0.8391128182411194,0.8790351152420044,0.7288901805877686,,,
24,19874,,,,0.8472269773483276,0.8788872957229614,0.7390527725219727
24,19874,0.8405959010124207,0.8798821568489075,0.7309278845787048,,,
25,20669,0.8433229923248291,0.8811630010604858,0.7346141934394836,,,
26,21464,0.8451764583587646,0.8823400735855103,0.7372209429740906,,,
27,22259,0.8474393486976624,0.8834147453308105,0.7403226494789124,,,
28,23054,0.8475448489189148,0.8834832310676575,0.7404685616493225,,,
29,23849,,,,0.8494862914085388,0.8801761269569397,0.7421336770057678
29,23849,0.8499867916107178,0.8845279216766357,0.743813157081604,,,
30,24644,0.851849377155304,0.885658860206604,0.7464594841003418,,,
31,25439,0.8528788685798645,0.8862374424934387,0.7479137778282166,,,
32,26234,0.8538209795951843,0.886784553527832,0.7492563128471375,,,
33,27029,0.855007529258728,0.887272298336029,0.7509036064147949,,,
34,27824,,,,0.8575242757797241,0.8855185508728027,0.7539146542549133
34,27824,0.8564098477363586,0.8879320621490479,0.7528746128082275,,,
35,28619,0.8566245436668396,0.8881227970123291,0.7531988620758057,,,
36,29414,0.8572578430175781,0.8885698318481445,0.7541284561157227,,,
37,30209,0.8580973744392395,0.8890430331230164,0.7553306818008423,,,
38,31004,0.8573933243751526,0.888761043548584,0.7543455362319946,,,
39,31799,,,,0.8578619360923767,0.8850609064102173,0.7542526125907898
39,31799,0.8583250045776367,0.8889642953872681,0.7556160092353821,,,
