epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.33321526646614075,0.49923110008239746,0.12493353337049484,,,
1,1589,0.45101141929626465,0.4922312796115875,0.20466503500938416,,,
2,2384,0.5860283374786377,0.5657352209091187,0.20723547041416168,,,
3,3179,0.8050919771194458,0.7800629734992981,0.33760857582092285,,,
4,3974,,,,0.8325786590576172,0.8025990128517151,0.47599872946739197
4,3974,0.8233590126037598,0.7970290184020996,0.4672345817089081,,,
5,4769,0.8348317742347717,0.8078200817108154,0.35869595408439636,,,
6,5564,0.8359798789024353,0.8088018298149109,0.4793166518211365,,,
7,6359,0.8461531400680542,0.8181396722793579,0.48912641406059265,,,
8,7154,0.849556028842926,0.8213076591491699,0.49249014258384705,,,
9,7949,,,,0.8508482575416565,0.8194818496704102,0.493760347366333
9,7949,0.8506606817245483,0.8222737908363342,0.4935460388660431,,,
10,8744,0.8535211682319641,0.8250963687896729,0.4964810907840729,,,
11,9539,0.8551101088523865,0.8265884518623352,0.49808475375175476,,,
12,10334,0.8563414812088013,0.8277081251144409,0.4993026852607727,,,
13,11129,0.5706359148025513,0.8272683620452881,0.49885112047195435,,,
14,11924,,,,0.5701456665992737,0.8218019008636475,0.4972449839115143
14,11924,0.5712023377418518,0.8271494507789612,0.49904632568359375,,,
15,12719,0.579863965511322,0.8278574347496033,0.5039695501327515,,,
16,13514,0.5890949964523315,0.8300479650497437,0.5102145075798035,,,
17,14309,0.6006476879119873,0.8323983550071716,0.5175852179527283,,,
18,15104,0.6120818257331848,0.8341089487075806,0.524601399898529,,,
19,15899,,,,0.6080782413482666,0.8299131989479065,0.5215294361114502
19,15899,0.623654842376709,0.8361038565635681,0.5321139097213745,,,
20,16694,0.6349655389785767,0.8380703330039978,0.5396299958229065,,,
21,17489,0.6476154923439026,0.8398650288581848,0.5480179190635681,,,
22,18284,0.6557955145835876,0.8415861129760742,0.5539568066596985,,,
23,19079,0.6639798879623413,0.8427734971046448,0.5596418380737305,,,
24,19874,,,,0.6601319313049316,0.836570680141449,0.554534375667572
24,19874,0.6717938780784607,0.8445082902908325,0.5655955672264099,,,
25,20669,0.674771785736084,0.8452469110488892,0.5679417848587036,,,
26,21464,0.682134211063385,0.8464895486831665,0.5734534859657288,,,
27,22259,0.6854950785636902,0.8473026752471924,0.576136589050293,,,
28,23054,0.6903659105300903,0.8481685519218445,0.5799126029014587,,,
29,23849,,,,0.694689154624939,0.8439921736717224,0.5815272927284241
29,23849,0.6918699145317078,0.8487936854362488,0.5812788009643555,,,
30,24644,0.696278989315033,0.8494555354118347,0.584673285484314,,,
31,25439,0.6947562098503113,0.8494948148727417,0.5836712121963501,,,
32,26234,0.6979835033416748,0.8501214385032654,0.5862215757369995,,,
33,27029,0.6997936367988586,0.8504416942596436,0.5876731276512146,,,
34,27824,,,,0.7045841813087463,0.8464611172676086,0.5900729298591614
34,27824,0.7005507349967957,0.8508310914039612,0.5884217023849487,,,
35,28619,0.7000378966331482,0.8508816957473755,0.5881116390228271,,,
36,29414,0.7017337083816528,0.8512138724327087,0.589480996131897,,,
37,30209,0.7023349404335022,0.8512870669364929,0.5899407863616943,,,
38,31004,0.7035598754882812,0.8514796495437622,0.5909111499786377,,,
39,31799,,,,0.7006191611289978,0.8460292220115662,0.5870006084442139
39,31799,0.69902104139328,0.8509243130683899,0.5874312520027161,,,
