epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.33324867486953735,0.499720960855484,0.16658513247966766,,,
1,1589,0.714301586151123,0.6981581449508667,0.37245720624923706,,,
2,2384,0.6379798650741577,0.7975139617919922,0.5159772634506226,,,
3,3179,0.7679135799407959,0.8400872349739075,0.4789402186870575,,,
4,3974,,,,0.8149953484535217,0.8542440533638,0.6936473846435547
4,3974,0.7915686368942261,0.8497076630592346,0.665915310382843,,,
5,4769,0.8054898381233215,0.8567318916320801,0.6831708550453186,,,
6,5564,0.8104506134986877,0.8594546318054199,0.5172016024589539,,,
7,6359,0.8174286484718323,0.8624870777130127,0.6984171867370605,,,
8,7154,0.8210998773574829,0.8651760220527649,0.7034549117088318,,,
9,7949,,,,0.8221196532249451,0.8647236227989197,0.7046122550964355
9,7949,0.8256914615631104,0.8673412203788757,0.709430456161499,,,
10,8744,0.830605685710907,0.8697888255119324,0.7159478068351746,,,
11,9539,0.8329631090164185,0.8711334466934204,0.7191617488861084,,,
12,10334,0.8365175724029541,0.872829794883728,0.7239351272583008,,,
13,11129,0.8386406302452087,0.8738582134246826,0.7268187403678894,,,
14,11924,,,,0.842542290687561,0.8741199374198914,0.7319169640541077
14,11924,0.8406762480735779,0.8751407861709595,0.7296748757362366,,,
15,12719,0.8431228995323181,0.876307487487793,0.7330319881439209,,,
16,13514,0.8435739874839783,0.8757466077804565,0.733461320400238,,,
17,14309,0.845526397228241,0.8775084018707275,0.7363604307174683,,,
18,15104,0.8474416732788086,0.8786253929138184,0.7390713691711426,,,
19,15899,,,,0.8507628440856934,0.8776962757110596,0.7433079481124878
19,15899,0.8482648134231567,0.8791459798812866,0.7402457594871521,,,
20,16694,0.8505683541297913,0.8800230622291565,0.7434197664260864,,,
21,17489,0.8509573936462402,0.880470335483551,0.7440266609191895,,,
22,18284,0.8524273633956909,0.8812317252159119,0.7461108565330505,,,
23,19079,0.8533307313919067,0.88181471824646,0.7474182844161987,,,
24,19874,,,,0.8566919565200806,0.880572497844696,0.7517552971839905
24,19874,0.8540645241737366,0.8823118209838867,0.7484880089759827,,,
25,20669,0.8548875451087952,0.8827595710754395,0.7496707439422607,,,
26,21464,0.8558707237243652,0.8832530379295349,0.7510738372802734,,,
27,22259,0.8560852408409119,0.8834924697875977,0.7514072060585022,,,
28,23054,0.8570860624313354,0.8840013146400452,0.7528418302536011,,,
29,23849,,,,0.8577991127967834,0.8819918036460876,0.7535181641578674
29,23849,0.8577409386634827,0.8842663764953613,0.7537689208984375,,,
30,24644,0.8581568002700806,0.8846690058708191,0.754407525062561,,,
31,25439,0.8585750460624695,0.8849006295204163,0.7550114989280701,,,
32,26234,0.859161913394928,0.8851396441459656,0.7558475136756897,,,
33,27029,0.8593071103096008,0.8852800130844116,0.7560707330703735,,,
34,27824,,,,0.8602909445762634,0.8832849860191345,0.7571526169776917
34,27824,0.8596948981285095,0.8855061531066895,0.7566345930099487,,,
35,28619,0.85999995470047,0.8856682777404785,0.7570783495903015,,,
36,29414,0.8600935339927673,0.8857812285423279,0.7572270035743713,,,
37,30209,0.860493540763855,0.8859503269195557,0.7577991485595703,,,
38,31004,0.8605450987815857,0.8859323859214783,0.7578679323196411,,,
39,31799,,,,0.8599268198013306,0.8833898901939392,0.7566620111465454
39,31799,0.8602489233016968,0.8859583735466003,0.7574639320373535,,,
