epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.23105989396572113,0.4966112971305847,0.17009800672531128,,,
1,1589,0.6664295792579651,0.4997333288192749,0.1665777713060379,,,
2,2384,0.30383989214897156,0.527999222278595,0.21319639682769775,,,
3,3179,0.7183305621147156,0.6938798427581787,0.3736448884010315,,,
4,3974,,,,0.8052730560302734,0.8414963483810425,0.6795778870582581
4,3974,0.7415996789932251,0.8193430304527283,0.6059215068817139,,,
5,4769,0.8270023465156555,0.8574230670928955,0.708450198173523,,,
6,5564,0.8399468660354614,0.8678737878799438,0.7270649075508118,,,
7,6359,0.8503771424293518,0.8734872937202454,0.7418613433837891,,,
8,7154,0.853356659412384,0.87591153383255,0.7462980151176453,,,
9,7949,,,,0.7786256670951843,0.8382940292358398,0.6485374569892883
9,7949,0.8595020771026611,0.8802487254142761,0.7554236650466919,,,
10,8744,0.8649142384529114,0.8834594488143921,0.7634568810462952,,,
11,9539,0.867568850517273,0.8849457502365112,0.7674261927604675,,,
12,10334,0.8711888194084167,0.8864575028419495,0.7728206515312195,,,
13,11129,0.8713567852973938,0.8871399760246277,0.7731483578681946,,,
14,11924,,,,0.8799476623535156,0.8909056186676025,0.7862434387207031
14,11924,0.8749441504478455,0.8896266222000122,0.7786685228347778,,,
15,12719,0.8783684372901917,0.8916902542114258,0.7839416861534119,,,
16,13514,0.8785006999969482,0.8919254541397095,0.784163773059845,,,
17,14309,0.8799745440483093,0.8927930593490601,0.589835524559021,,,
18,15104,0.8824355006217957,0.8941367268562317,0.790263831615448,,,
19,15899,,,,0.8862385153770447,0.8951221704483032,0.7961418628692627
19,15899,0.8824954032897949,0.8943610191345215,0.7903777956962585,,,
20,16694,0.8848010897636414,0.8956138491630554,0.7939779758453369,,,
21,17489,0.8852276802062988,0.8961430191993713,0.7946741580963135,,,
22,18284,0.886089026927948,0.8966971635818481,0.7960336208343506,,,
23,19079,0.8876346945762634,0.8976461887359619,0.5988589525222778,,,
24,19874,,,,0.8898831605911255,0.8974129557609558,0.8019376993179321
24,19874,0.8883244395256042,0.8981832265853882,0.7995805740356445,,,
25,20669,0.888946533203125,0.8986483216285706,0.600430965423584,,,
26,21464,0.8889336585998535,0.8990152478218079,0.8005863428115845,,,
27,22259,0.8908256888389587,0.8998652696609497,0.8035710453987122,,,
28,23054,0.890719473361969,0.90008944272995,0.8034240007400513,,,
29,23849,,,,0.8906185626983643,0.8987871408462524,0.602385401725769
29,23849,0.8909908533096313,0.9000568389892578,0.6028817296028137,,,
30,24644,0.8924026489257812,0.901381254196167,0.8061323165893555,,,
31,25439,0.891511857509613,0.9003791809082031,0.6035079956054688,,,
32,26234,0.8922991156578064,0.9013424515724182,0.8059765696525574,,,
33,27029,0.8937601447105408,0.90269535779953,0.8083502650260925,,,
34,27824,,,,0.8947203755378723,0.9017447233200073,0.8097891807556152
34,27824,0.8941378593444824,0.9029668569564819,0.8089584708213806,,,
35,28619,0.8944817185401917,0.9032685160636902,0.8095179796218872,,,
36,29414,0.8949892520904541,0.9036476016044617,0.8103387951850891,,,
37,30209,0.8952872157096863,0.9039161801338196,0.6081185340881348,,,
38,31004,0.895875871181488,0.904156506061554,0.8117640018463135,,,
39,31799,,,,0.8953601121902466,0.9022324085235596,0.6081187129020691
39,31799,0.8955877423286438,0.9041456580162048,0.6084837913513184,,,
