epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,700,,,,0.8420573472976685,0.8725600838661194,0.5480159521102905
0,700,0.7744289040565491,0.8014350533485413,0.4761171340942383,,,
1,1401,,,,0.8537959456443787,0.878150999546051,0.5605097413063049
1,1401,0.8709386587142944,0.884794294834137,0.5792111158370972,,,
2,2102,,,,0.8680785298347473,0.8850750923156738,0.768165111541748
2,2102,0.8832745552062988,0.8932549357414246,0.5935841202735901,,,
3,2803,,,,0.8696258068084717,0.8881019353866577,0.7708133459091187
3,2803,0.8914538621902466,0.8984413146972656,0.8044208884239197,,,
4,3504,,,,0.8646527528762817,0.8684242367744446,0.7617878913879395
4,3504,0.8960107564926147,0.9015091061592102,0.8117786645889282,,,
5,4205,,,,0.883047878742218,0.9005026817321777,0.7919151186943054
5,4205,0.8982619047164917,0.9033278226852417,0.8154565691947937,,,
6,4906,,,,0.888968825340271,0.9014822840690613,0.800882875919342
6,4906,0.9022409319877625,0.9061784148216248,0.821986973285675,,,
7,5607,,,,0.8921484351158142,0.9026913642883301,0.8058772087097168
7,5607,0.9044424891471863,0.9084223508834839,0.8256492614746094,,,
