epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,700,0.34915557503700256,0.5047091245651245,0.17729602754116058,,,
1,1401,0.47270408272743225,0.6775544285774231,0.36368033289909363,,,
2,2102,0.5833278298377991,0.7429874539375305,0.45516273379325867,,,
3,2803,0.6570348143577576,0.7666654586791992,0.5151936411857605,,,
4,3504,,,,0.6550456881523132,0.7595157623291016,0.5127710103988647
4,3504,0.6954966187477112,0.7817832827568054,0.5514624714851379,,,
5,4205,0.7217851281166077,0.795587420463562,0.5793075561523438,,,
6,4906,0.7401286363601685,0.8043375611305237,0.5992265343666077,,,
7,5607,0.762056827545166,0.8174919486045837,0.6250206828117371,,,
8,6308,0.7706037163734436,0.8201792240142822,0.6346339583396912,,,
9,7009,,,,0.7843606472015381,0.8435634970664978,0.6571720242500305
9,7009,0.7860652804374695,0.8285029530525208,0.6536039710044861,,,
10,7710,0.7961292862892151,0.8386351466178894,0.6675719022750854,,,
11,8411,0.8001514077186584,0.8396332859992981,0.6723709106445312,,,
12,9112,0.8059664368629456,0.8423117995262146,0.6797659397125244,,,
13,9813,0.8074765205383301,0.8433963060379028,0.681796133518219,,,
14,10514,,,,0.8125039339065552,0.8476952910423279,0.6892646551132202
14,10514,0.8142286539077759,0.8498535752296448,0.6913592219352722,,,
15,11215,0.8198862671852112,0.852222740650177,0.698720395565033,,,
16,11916,0.8215450644493103,0.8541466593742371,0.7011812925338745,,,
17,12617,0.8249616026878357,0.8573042154312134,0.7060748338699341,,,
