epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7543511986732483,0.8207597732543945,0.46406090259552,,,
1,1589,0.822857141494751,0.867612898349762,0.7061935663223267,,,
2,2384,0.8393073081970215,0.8770474791526794,0.728497326374054,,,
3,3179,0.8442344665527344,0.8773747086524963,0.7347055077552795,,,
4,3974,,,,0.8631436824798584,0.8838489651679993,0.7612035274505615
4,3974,0.8580107092857361,0.8859227299690247,0.7544885277748108,,,
5,4769,0.8628808856010437,0.8885933756828308,0.7615614533424377,,,
6,5564,0.8649691939353943,0.8895624876022339,0.7645842432975769,,,
7,6359,0.8706180453300476,0.8922795057296753,0.7728816866874695,,,
8,7154,0.8732070326805115,0.8941073417663574,0.7768281698226929,,,
9,7949,,,,0.8676353096961975,0.881814181804657,0.7671318054199219
9,7949,0.875315248966217,0.8952179551124573,0.7799943089485168,,,
10,8744,0.879813551902771,0.8974206447601318,0.7867909073829651,,,
11,9539,0.8806514739990234,0.8981252312660217,0.7881084084510803,,,
12,10334,0.8823715448379517,0.8990886211395264,0.7907544374465942,,,
13,11129,0.8843894600868225,0.8998730182647705,0.793826162815094,,,
14,11924,,,,0.882323682308197,0.8951824307441711,0.790235161781311
14,11924,0.8862578272819519,0.9010156989097595,0.7967461347579956,,,
15,12719,0.8879601955413818,0.9021792411804199,0.7994306087493896,,,
16,13514,0.8887302279472351,0.9029791951179504,0.8006813526153564,,,
17,14309,0.890278160572052,0.9037125110626221,0.8030960559844971,,,
18,15104,0.892372727394104,0.9044638276100159,0.8063582181930542,,,
19,15899,,,,0.8849003314971924,0.8976428508758545,0.7943463921546936
19,15899,0.8922474384307861,0.9050024747848511,0.8062247037887573,,,
20,16694,0.8947276473045349,0.9060883522033691,0.8101321458816528,,,
21,17489,0.8951565027236938,0.9065381288528442,0.8108370900154114,,,
22,18284,0.894564688205719,0.9062579274177551,0.8098997473716736,,,
23,19079,0.8963152766227722,0.9072074294090271,0.8126918077468872,,,
24,19874,,,,0.8787983059883118,0.8928501605987549,0.7847380638122559
24,19874,0.8977565169334412,0.9084581732749939,0.8150436878204346,,,
25,20669,0.8988872766494751,0.9089035391807556,0.8168447017669678,,,
26,21464,0.8987905979156494,0.908821165561676,0.81668621301651,,,
27,22259,0.9003629088401794,0.9098657369613647,0.8192383050918579,,,
28,23054,0.9013747572898865,0.9104658961296082,0.8208798170089722,,,
29,23849,,,,0.8882438540458679,0.8978416919708252,0.7994332313537598
29,23849,0.90199214220047,0.9108691811561584,0.8218867778778076,,,
30,24644,0.9027495980262756,0.9115506410598755,0.8231381773948669,,,
31,25439,0.9038781523704529,0.9120745658874512,0.8249675035476685,,,
32,26234,0.9042552709579468,0.9121650457382202,0.8255761861801147,,,
33,27029,0.9058891534805298,0.9135922193527222,0.8282874822616577,,,
34,27824,,,,0.8898419141769409,0.9001061916351318,0.8020867705345154
34,27824,0.9067515730857849,0.9141804575920105,0.8297096490859985,,,
35,28619,0.9067750573158264,0.9140558242797852,0.8297403454780579,,,
36,29414,0.9079042673110962,0.9149514436721802,0.8316145539283752,,,
37,30209,0.9080421328544617,0.9152523875236511,0.8318579792976379,,,
38,31004,0.9098554253578186,0.9161150455474854,0.8348459005355835,,,
39,31799,,,,0.8925303816795349,0.9017939567565918,0.8063722252845764
39,31799,0.9099907279014587,0.9163556098937988,0.8350794315338135,,,
40,32594,0.9108415246009827,0.9169926047325134,0.8365009427070618,,,
41,33389,0.9113796353340149,0.9174826145172119,0.8374046087265015,,,
42,34184,0.9123364686965942,0.9179351329803467,0.8389948010444641,,,
43,34979,0.9132165908813477,0.9187552332878113,0.840478777885437,,,
44,35774,,,,0.8940705060958862,0.9029766917228699,0.8088546395301819
44,35774,0.9139603972434998,0.9192091822624207,0.8417254090309143,,,
45,36569,0.9141701459884644,0.9195328950881958,0.8420861959457397,,,
46,37364,0.9142823219299316,0.9196921586990356,0.8422791957855225,,,
47,38159,0.9156561493873596,0.9205724596977234,0.8445891737937927,,,
48,38954,0.9160551428794861,0.9210497140884399,0.8452703952789307,,,
49,39749,,,,0.8931566476821899,0.9020610451698303,0.8073508143424988
49,39749,0.9167118072509766,0.9214618802070618,0.8463778495788574,,,
50,40544,0.9173530340194702,0.9219929575920105,0.8474664092063904,,,
51,41339,0.9173612594604492,0.9220126867294312,0.8474804162979126,,,
52,42134,0.9181380867958069,0.9226989150047302,0.8488033413887024,,,
53,42929,0.918800413608551,0.9232175946235657,0.8499290943145752,,,
54,43724,,,,0.8907031416893005,0.8980138897895813,0.80323326587677
54,43724,0.9191073775291443,0.9234520196914673,0.8504510521888733,,,
55,44519,0.9200354814529419,0.9241960048675537,0.8520333766937256,,,
56,45314,0.9200394749641418,0.9243565797805786,0.8520464301109314,,,
57,46109,0.9204219579696655,0.9247094392776489,0.8527010083198547,,,
58,46904,0.921145498752594,0.9253109097480774,0.853938639163971,,,
59,47699,,,,0.8953980803489685,0.9041800498962402,0.8110133409500122
59,47699,0.9213340878486633,0.9253600239753723,0.8542569279670715,,,
60,48494,0.9220383763313293,0.9259791374206543,0.8554649353027344,,,
61,49289,0.9220420718193054,0.9261178970336914,0.8554764986038208,,,
62,50084,0.9227370023727417,0.926675021648407,0.8566672801971436,,,
63,50879,0.9229705929756165,0.926837146282196,0.8570672273635864,,,
64,51674,,,,0.893554151058197,0.902953565120697,0.8080504536628723
64,51674,0.9233495593070984,0.9272292256355286,0.8577208518981934,,,
65,52469,0.9237388968467712,0.9275719523429871,0.8583909273147583,,,
66,53264,0.9239391088485718,0.9277351498603821,0.8587353825569153,,,
67,54059,0.9240525960922241,0.9277401566505432,0.8589272499084473,,,
68,54854,0.9248687624931335,0.9285072088241577,0.8603363037109375,,,
69,55649,,,,0.8925922513008118,0.9011294841766357,0.8064042329788208
69,55649,0.9250207543373108,0.9286499619483948,0.8605990409851074,,,
70,56444,0.9251582622528076,0.9287858009338379,0.8608366847038269,,,
71,57239,0.9254215359687805,0.9290164113044739,0.861291229724884,,,
72,58034,0.925849199295044,0.9293529987335205,0.8620290756225586,,,
73,58829,0.9258490204811096,0.929466724395752,0.862032413482666,,,
74,59624,,,,0.8960084915161133,0.9053470492362976,0.8120658993721008
74,59624,0.9262145757675171,0.9297325611114502,0.8626624941825867,,,
75,60419,0.926371157169342,0.9299432039260864,0.8629360198974609,,,
76,61214,0.9266766309738159,0.9301854372024536,0.8634636402130127,,,
77,62009,0.9267521500587463,0.9302777647972107,0.8635953664779663,,,
78,62804,0.9270849227905273,0.9304929971694946,0.8641692399978638,,,
79,63599,,,,0.8937889337539673,0.9034297466278076,0.8084573149681091
79,63599,0.9271558523178101,0.9305739402770996,0.864292562007904,,,
80,64394,0.9273198246955872,0.9307112693786621,0.8645769357681274,,,
81,65189,0.9274975657463074,0.9309138655662537,0.8648863434791565,,,
82,65984,0.9275664687156677,0.9309660792350769,0.8650055527687073,,,
83,66779,0.927778422832489,0.9310906529426575,0.8653714656829834,,,
84,67574,,,,0.893218994140625,0.9020482301712036,0.8074511289596558
84,67574,0.9277155995368958,0.9310620427131653,0.8652631640434265,,,
