epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.5593301057815552,0.7723231315612793,0.3434907793998718,,,
1,1589,0.6471080183982849,0.813758373260498,0.5329346656799316,,,
2,2384,0.6836610436439514,0.8246626853942871,0.56333327293396,,,
3,3179,0.705265462398529,0.8318657279014587,0.5827130079269409,,,
4,3974,,,,0.7205121517181396,0.8352637887001038,0.59723961353302
4,3974,0.7180052399635315,0.8363640904426575,0.5947152972221375,,,
5,4769,0.7237628102302551,0.8384155631065369,0.6001816987991333,,,
6,5564,0.7317253351211548,0.8416328430175781,0.6081283688545227,,,
7,6359,0.7383064031600952,0.8430736660957336,0.6141713857650757,,,
8,7154,0.744149386882782,0.845343828201294,0.6201232671737671,,,
9,7949,,,,0.7551314234733582,0.8417738080024719,0.6286670565605164
9,7949,0.7492464780807495,0.8469789028167725,0.6252621412277222,,,
10,8744,0.7530697584152222,0.8481919765472412,0.6291429996490479,,,
11,9539,0.7559430599212646,0.8489263653755188,0.6320050954818726,,,
12,10334,0.7624598145484924,0.8507135510444641,0.6385701298713684,,,
13,11129,0.764481246471405,0.8514817953109741,0.6407477855682373,,,
14,11924,,,,0.7407068610191345,0.8245073556900024,0.6083738207817078
14,11924,0.7646405696868896,0.8514619469642639,0.6409405469894409,,,
15,12719,0.769093930721283,0.8528944253921509,0.6455979943275452,,,
16,13514,0.7709386944770813,0.8538618087768555,0.6477153897285461,,,
17,14309,0.7731847763061523,0.8551214933395386,0.6503642797470093,,,
18,15104,0.7746796607971191,0.855390727519989,0.6518484354019165,,,
19,15899,,,,0.7478777766227722,0.8480995297431946,0.6252079606056213
19,15899,0.774854302406311,0.8553364276885986,0.6520456075668335,,,
20,16694,0.7790387868881226,0.857283890247345,0.6568113565444946,,,
21,17489,0.77967369556427,0.8572835922241211,0.6574143767356873,,,
22,18284,0.7808651328086853,0.8576651811599731,0.6587033271789551,,,
23,19079,0.7840986847877502,0.8590732216835022,0.6624035835266113,,,
24,19874,,,,0.7740009427070618,0.8531359434127808,0.6507645845413208
24,19874,0.7861062288284302,0.8600059747695923,0.6647394895553589,,,
25,20669,0.787063717842102,0.8605092167854309,0.6658898591995239,,,
26,21464,0.7890516519546509,0.8609450459480286,0.6679973602294922,,,
27,22259,0.7905970215797424,0.8620399236679077,0.6699913740158081,,,
28,23054,0.7925391793251038,0.8621733784675598,0.6719562411308289,,,
29,23849,,,,0.7788766026496887,0.8510187268257141,0.655867338180542
29,23849,0.7930463552474976,0.8628227710723877,0.6727285385131836,,,
30,24644,0.795333206653595,0.8631059527397156,0.6751524209976196,,,
31,25439,0.7977887392044067,0.8644095659255981,0.6781571507453918,,,
