epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,700,,,,0.8667071461677551,0.8813191652297974,0.574295699596405
0,700,0.787352979183197,0.8361485600471497,0.49281182885169983,,,
1,1401,,,,0.8849089741706848,0.892238974571228,0.5953765511512756
1,1401,0.8773120641708374,0.8892632722854614,0.5865908265113831,,,
2,2102,,,,0.891238272190094,0.8957275748252869,0.6029418706893921
2,2102,0.8868672251701355,0.8954979777336121,0.5978299975395203,,,
3,2803,,,,0.8886429071426392,0.8918949961662292,0.5997568964958191
3,2803,0.8938440084457397,0.9000052809715271,0.6062005162239075,,,
4,3504,,,,0.8956742882728577,0.8990077972412109,0.8111144304275513
4,3504,0.8985323309898376,0.9032458066940308,0.6119143962860107,,,
5,4205,,,,0.9000777006149292,0.9032651782035828,0.8183671832084656
5,4205,0.90211421251297,0.9060035943984985,0.6163312196731567,,,
6,4906,,,,0.9000345468521118,0.9013952612876892,0.8182604312896729
6,4906,0.9048601388931274,0.9082028269767761,0.6197416186332703,,,
7,5607,,,,0.9031511545181274,0.9055309891700745,0.8234367370605469
7,5607,0.9073660373687744,0.9098709225654602,0.6228638291358948,,,
8,6308,,,,0.8940157890319824,0.8968364000320435,0.8084007501602173
8,6308,0.9087409377098083,0.9112629294395447,0.6245942711830139,,,
9,7009,,,,0.9039885401725769,0.9062922596931458,0.8248292803764343
9,7009,0.9107632637023926,0.9130281209945679,0.6271407008171082,,,
10,7710,,,,0.9055303335189819,0.907950758934021,0.8273995518684387
10,7710,0.9126760363578796,0.9147344827651978,0.6295592188835144,,,
11,8411,,,,0.9055576920509338,0.9080341458320618,0.8274518847465515
11,8411,0.9150671362876892,0.9167853593826294,0.8434587717056274,,,
12,9112,,,,0.9059431552886963,0.9080175161361694,0.8280838131904602
12,9112,0.9162646532058716,0.9180691242218018,0.6341226696968079,,,
13,9813,,,,0.906704843044281,0.9087247848510742,0.8293583989143372
13,9813,0.9177851676940918,0.9195278286933899,0.8480876684188843,,,
14,10514,,,,0.9026859998703003,0.9056820273399353,0.82268226146698
14,10514,0.9185943007469177,0.9214404821395874,0.6371204853057861,,,
15,11215,,,,0.9063754677772522,0.9084367156028748,0.8288059234619141
15,11215,0.9225442409515381,0.9245269298553467,0.8562544584274292,,,
16,11916,,,,0.9068971276283264,0.9088643193244934,0.8296754360198975
16,11916,0.9249802827835083,0.9269289970397949,0.8604589104652405,,,
17,12617,,,,0.9086553454399109,0.9106690287590027,0.8326241374015808
17,12617,0.9267542362213135,0.928966760635376,0.8635402321815491,,,
18,13318,,,,0.9034656882286072,0.9056897163391113,0.8239532113075256
18,13318,0.9285481572151184,0.9308372139930725,0.8666614890098572,,,
19,14019,,,,0.9072883129119873,0.9094995260238647,0.8303395509719849
19,14019,0.9299525618553162,0.9323651194572449,0.8691143989562988,,,
20,14720,,,,0.9081757664680481,0.910243570804596,0.8318212628364563
20,14720,0.9319196343421936,0.9343037605285645,0.8725557327270508,,,
21,15421,,,,0.9077059030532837,0.9101857542991638,0.8310431838035583
21,15421,0.9334132671356201,0.9357171654701233,0.8751758933067322,,,
22,16122,,,,0.9081491231918335,0.9105331897735596,0.8317844271659851
22,16122,0.9341985583305359,0.9365208148956299,0.6574183702468872,,,
23,16823,,,,0.9063557982444763,0.9089450836181641,0.8287842869758606
23,16823,0.9356631636619568,0.9380496144294739,0.8791415095329285,,,
24,17524,,,,0.9076970219612122,0.9097596406936646,0.8310205340385437
24,17524,0.9369559288024902,0.9393003582954407,0.8814259171485901,,,
25,18225,,,,0.9083448648452759,0.9105440378189087,0.8321078419685364
25,18225,0.9378653764724731,0.9401940703392029,0.8830362558364868,,,
26,18926,,,,0.9069096446037292,0.9096304774284363,0.829715371131897
26,18926,0.9390386939048767,0.9413718581199646,0.8851187229156494,,,
27,19627,,,,0.9073824286460876,0.9097009301185608,0.8304962515830994
27,19627,0.9400906562805176,0.9423549771308899,0.8869880437850952,,,
28,20328,,,,0.9064067602157593,0.9087257385253906,0.8288635611534119
28,20328,0.941098690032959,0.9433516263961792,0.888783872127533,,,
29,21029,,,,0.906832218170166,0.9092003107070923,0.8295786380767822
29,21029,0.9417319893836975,0.9439477324485779,0.8899134397506714,,,
30,21730,,,,0.9063308835029602,0.9088979363441467,0.8287431001663208
30,21730,0.9426514506340027,0.9449191689491272,0.891558051109314,,,
31,22431,,,,0.9060227870941162,0.9086313247680664,0.8282294273376465
31,22431,0.9432063102722168,0.9453925490379333,0.8925492763519287,,,
32,23132,,,,0.9065057635307312,0.9090439677238464,0.8290358185768127
32,23132,0.9438608884811401,0.9460536241531372,0.8937221765518188,,,
33,23833,,,,0.9059786796569824,0.9084721207618713,0.8281534910202026
33,23833,0.9443864226341248,0.9465184807777405,0.8946635723114014,,,
34,24534,,,,0.9054134488105774,0.9080179333686829,0.8272121548652649
34,24534,0.9448089003562927,0.9469782710075378,0.8954229950904846,,,
35,25235,,,,0.9056430459022522,0.9081712961196899,0.8275936841964722
35,25235,0.9452652335166931,0.9473745226860046,0.8962417244911194,,,
36,25936,,,,0.9056692719459534,0.9082269668579102,0.8276380896568298
36,25936,0.9455131888389587,0.947672426700592,0.8966888189315796,,,
37,26637,,,,0.9054467678070068,0.9080411195755005,0.8272676467895508
37,26637,0.9455763697624207,0.9477642774581909,0.8968031406402588,,,
38,27338,,,,0.9055869579315186,0.908144474029541,0.8275006413459778
38,27338,0.9458420872688293,0.94797283411026,0.8972797989845276,,,
39,28039,,,,0.9055415987968445,0.9081296920776367,0.8274256587028503
39,28039,0.9456914067268372,0.9478502869606018,0.8970094919204712,,,
