epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.6520074605941772,0.8133446574211121,0.533989667892456,,,
1,1589,0.8609123229980469,0.8858959078788757,0.758320689201355,,,
2,2384,0.883186936378479,0.8980263471603394,0.7918110489845276,,,
3,3179,0.8934832811355591,0.9033048748970032,0.807955801486969,,,
4,3974,,,,0.8949929475784302,0.9037984013557434,0.8103584051132202
4,3974,0.8969411849975586,0.9056228399276733,0.813532292842865,,,
5,4769,0.9024455547332764,0.9090403914451599,0.8224819898605347,,,
6,5564,0.9051604270935059,0.9112929701805115,0.8269725441932678,,,
7,6359,0.9079049229621887,0.9126644134521484,0.8314984440803528,,,
8,7154,0.9107721447944641,0.9154529571533203,0.8363128304481506,,,
9,7949,,,,0.9062243103981018,0.9100068211555481,0.8286275267601013
9,7949,0.9127485156059265,0.9166237711906433,0.8396195769309998,,,
10,8744,0.9147367477416992,0.9187059998512268,0.842990517616272,,,
11,9539,0.9175006151199341,0.9209188222885132,0.8476758599281311,,,
12,10334,0.9173210859298706,0.9215645790100098,0.8473966121673584,,,
13,11129,0.9206365346908569,0.9238017797470093,0.8530336618423462,,,
14,11924,,,,0.9107445478439331,0.9146668910980225,0.8362232446670532
14,11924,0.9222919940948486,0.9253300428390503,0.8558750152587891,,,
15,12719,0.9247109293937683,0.9278134703636169,0.8600489497184753,,,
16,13514,0.9235332012176514,0.9277108311653137,0.8580511212348938,,,
17,14309,0.9275001883506775,0.9303924441337585,0.8648793697357178,,,
18,15104,0.9287799000740051,0.931811511516571,0.867110013961792,,,
19,15899,,,,0.9094205498695374,0.9124659299850464,0.8339871764183044
19,15899,0.9297724962234497,0.9331029057502747,0.8688479065895081,,,
20,16694,0.9314855337142944,0.9345245957374573,0.8718351125717163,,,
21,17489,0.9326868653297424,0.9355583786964417,0.8739368319511414,,,
22,18284,0.9345919489860535,0.9374856352806091,0.877286434173584,,,
23,19079,0.9346014261245728,0.9373923540115356,0.8773006796836853,,,
24,19874,,,,0.9114195704460144,0.9144753813743591,0.837332546710968
24,19874,0.9365099668502808,0.9393826723098755,0.8806703090667725,,,
25,20669,0.9375808238983154,0.9404010772705078,0.8825636506080627,,,
26,21464,0.9388217926025391,0.9414535760879517,0.8847595453262329,,,
27,22259,0.9396283030509949,0.9423336982727051,0.8861941695213318,,,
28,23054,0.9401829242706299,0.9428967833518982,0.8871817588806152,,,
29,23849,,,,0.9104416966438293,0.9133386015892029,0.8356846570968628
29,23849,0.9416928887367249,0.9443252682685852,0.8898710012435913,,,
30,24644,0.9426285028457642,0.945232629776001,0.8915420770645142,,,
31,25439,0.9433154463768005,0.9460442066192627,0.8927745819091797,,,
32,26234,0.9444518685340881,0.9470223188400269,0.894807755947113,,,
33,27029,0.9448036551475525,0.9473994374275208,0.8954395651817322,,,
34,27824,,,,0.9102378487586975,0.9133180379867554,0.8353518843650818
34,27824,0.9459188580513,0.948341965675354,0.8974404335021973,,,
35,28619,0.9466591477394104,0.949299693107605,0.8987787365913391,,,
36,29414,0.9471964836120605,0.9495838284492493,0.899741530418396,,,
37,30209,0.9484239816665649,0.9507284164428711,0.9019562005996704,,,
38,31004,0.9493024945259094,0.9516760110855103,0.9035475254058838,,,
39,31799,,,,0.9088945388793945,0.9124680161476135,0.8331023454666138
39,31799,0.9495740532875061,0.9519146084785461,0.904038667678833,,,
40,32594,0.9498287439346313,0.9522520303726196,0.9045020341873169,,,
41,33389,0.9507526755332947,0.9530580043792725,0.906175971031189,,,
42,34184,0.9516122937202454,0.9539536833763123,0.9077390432357788,,,
43,34979,0.9518392086029053,0.9541800618171692,0.9081518650054932,,,
44,35774,,,,0.9074743986129761,0.9105883836746216,0.8307068347930908
44,35774,0.952314019203186,0.954666256904602,0.9090164303779602,,,
45,36569,0.9527298808097839,0.9550081491470337,0.9097727537155151,,,
46,37364,0.9532946348190308,0.9556149244308472,0.9108035564422607,,,
47,38159,0.9540160298347473,0.9561697840690613,0.9121174812316895,,,
48,38954,0.9547882676124573,0.9568880200386047,0.9135285019874573,,,
49,39749,,,,0.9073944687843323,0.9107118248939514,0.8305838108062744
49,39749,0.9551510810852051,0.9572675228118896,0.9141928553581238,,,
50,40544,0.9551238417625427,0.9572142958641052,0.9141424298286438,,,
51,41339,0.9561383724212646,0.9581767916679382,0.9160011410713196,,,
52,42134,0.9562258124351501,0.958319365978241,0.9161625504493713,,,
53,42929,0.9565651416778564,0.9585987329483032,0.9167844653129578,,,
54,43724,,,,0.9063053131103516,0.9097122550010681,0.8287639617919922
54,43724,0.9567784070968628,0.9588213562965393,0.9171762466430664,,,
55,44519,0.9570126533508301,0.9591379761695862,0.9176081418991089,,,
56,45314,0.9573778510093689,0.9593634605407715,0.9182769060134888,,,
57,46109,0.9577593803405762,0.9596689343452454,0.9189775586128235,,,
58,46904,0.9579532742500305,0.9599689841270447,0.9193362593650818,,,
59,47699,,,,0.9046530723571777,0.9082143306732178,0.6195058822631836
59,47699,0.9585629105567932,0.9604350328445435,0.9204567670822144,,,
60,48494,0.9588587880134583,0.9607664942741394,0.921002984046936,,,
61,49289,0.9589083790779114,0.9608556628227234,0.921095073223114,,,
62,50084,0.9597010016441345,0.9614757895469666,0.9225552082061768,,,
63,50879,0.9596363306045532,0.961463987827301,0.9224367141723633,,,
64,51674,,,,0.9039642810821533,0.9078672528266907,0.6186544299125671
64,51674,0.9600796103477478,0.9619314074516296,0.9232561588287354,,,
65,52469,0.9599602222442627,0.9618549942970276,0.9230363368988037,,,
66,53264,0.9602648019790649,0.9620636105537415,0.9235977530479431,,,
67,54059,0.9606235027313232,0.9623631238937378,0.9242603182792664,,,
68,54854,0.9609732031822205,0.9627483487129211,0.9249082803726196,,,
69,55649,,,,0.9034839272499084,0.9075263142585754,0.6180616021156311
69,55649,0.9612799286842346,0.9630175232887268,0.9254758358001709,,,
70,56444,0.961182177066803,0.9629774689674377,0.9252957701683044,,,
71,57239,0.9616895914077759,0.9634226560592651,0.9262351393699646,,,
72,58034,0.9615796208381653,0.9632633924484253,0.9260304570198059,,,
73,58829,0.9620212316513062,0.9636918902397156,0.9268493056297302,,,
74,59624,,,,0.9021698832511902,0.9061205387115479,0.6164177060127258
74,59624,0.9620914459228516,0.9636956453323364,0.9269787073135376,,,
75,60419,0.9619620442390442,0.9636090993881226,0.9267391562461853,,,
76,61214,0.9623433351516724,0.9640007615089417,0.9274470210075378,,,
77,62009,0.9627440571784973,0.9643808603286743,0.928191065788269,,,
78,62804,0.9624765515327454,0.9640135169029236,0.9276925921440125,,,
79,63599,,,,0.9022072553634644,0.9062937498092651,0.6164706349372864
79,63599,0.9629437327384949,0.9645814895629883,0.6964216232299805,,,
80,64394,0.9626513719558716,0.9643481969833374,0.9280197620391846,,,
81,65189,0.9631156325340271,0.9647308588027954,0.9288815259933472,,,
82,65984,0.9633018374443054,0.9648703336715698,0.9292271137237549,,,
83,66779,0.9633328318595886,0.9648953676223755,0.9292847514152527,,,
84,67574,,,,0.9015364050865173,0.9057404398918152,0.6156401038169861
84,67574,0.9631280303001404,0.9646749496459961,0.928903341293335,,,
85,68369,0.9632266759872437,0.9648308157920837,0.9290878772735596,,,
86,69164,0.9638107419013977,0.9653245806694031,0.9301735162734985,,,
87,69959,0.9635494351387024,0.9651850461959839,0.9296887516975403,,,
88,70754,0.963367223739624,0.9649731516838074,0.9293493032455444,,,
89,71549,,,,0.9009079337120056,0.9051927328109741,0.6148620843887329
89,71549,0.9636363983154297,0.9652292728424072,0.9298498630523682,,,
