epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7663819193840027,0.8274390697479248,0.4745047688484192,,,
1,1589,0.8306041359901428,0.8689120411872864,0.7156908512115479,,,
2,2384,0.8488889932632446,0.8785016536712646,0.7409052848815918,,,
3,3179,0.859518826007843,0.8839067816734314,0.7560880780220032,,,
4,3974,,,,0.8735403418540955,0.8883936405181885,0.7765310406684875
4,3974,0.8662130832672119,0.8871600031852722,0.7658594846725464,,,
5,4769,0.8719964027404785,0.8899984955787659,0.7744570374488831,,,
6,5564,0.8751347661018372,0.8920901417732239,0.7792609930038452,,,
7,6359,0.8789501190185547,0.894066333770752,0.7850774526596069,,,
8,7154,0.8809421062469482,0.8953847289085388,0.7881731986999512,,,
9,7949,,,,0.8867682814598083,0.897804856300354,0.7971909046173096
9,7949,0.8845823407173157,0.8974460363388062,0.7938259840011597,,,
10,8744,0.8848389387130737,0.8978586196899414,0.7942575216293335,,,
11,9539,0.8876459002494812,0.8994066715240479,0.7986505031585693,,,
12,10334,0.8882977962493896,0.8996816277503967,0.7996689677238464,,,
13,11129,0.8912065625190735,0.901771605014801,0.8043128252029419,,,
14,11924,,,,0.8875207304954529,0.8974115252494812,0.7982985377311707
14,11924,0.8915457725524902,0.9020557403564453,0.8048604726791382,,,
15,12719,0.8919052481651306,0.9026532769203186,0.8054643869400024,,,
16,13514,0.8939284086227417,0.9038005471229553,0.8086889982223511,,,
17,14309,0.8943371176719666,0.9038761258125305,0.809330940246582,,,
18,15104,0.894892692565918,0.9044466614723206,0.810239851474762,,,
19,15899,,,,0.8787288665771484,0.8894532918930054,0.7842121124267578
19,15899,0.8971144556999207,0.9058904647827148,0.8138243556022644,,,
20,16694,0.8980025053024292,0.9066677093505859,0.8152771592140198,,,
21,17489,0.8976771235466003,0.9066702127456665,0.8147684335708618,,,
22,18284,0.8998762369155884,0.9079465270042419,0.8183239102363586,,,
23,19079,0.8998069763183594,0.9080845713615417,0.8182233572006226,,,
24,19874,,,,0.8823596835136414,0.8812437057495117,0.7894987463951111
24,19874,0.900686502456665,0.9084728360176086,0.8196436166763306,,,
25,20669,0.9000610113143921,0.9082037806510925,0.8186341524124146,,,
26,21464,0.9028485417366028,0.9098846316337585,0.8231797814369202,,,
27,22259,0.9036968350410461,0.9105143547058105,0.8245760798454285,,,
28,23054,0.9038938283920288,0.9108011722564697,0.8249086141586304,,,
29,23849,,,,0.8975403308868408,0.904385507106781,0.814396321773529
29,23849,0.9052618145942688,0.9116537570953369,0.8271580934524536,,,
30,24644,0.9051302075386047,0.911350667476654,0.8269302845001221,,,
31,25439,0.9058185815811157,0.9123323559761047,0.8280945420265198,,,
32,26234,0.9061747789382935,0.9124627113342285,0.8286756873130798,,,
33,27029,0.9073954820632935,0.9132144451141357,0.8306944966316223,,,
34,27824,,,,0.9054808616638184,0.9090502858161926,0.8274081349372864
34,27824,0.9077176451683044,0.9135478734970093,0.8312326073646545,,,
35,28619,0.9084684252738953,0.9140446186065674,0.8324810266494751,,,
36,29414,0.9088728427886963,0.9143525958061218,0.8331546187400818,,,
37,30209,0.9090309143066406,0.9146043062210083,0.8334233164787292,,,
38,31004,0.9093281030654907,0.9148027896881104,0.8339190483093262,,,
39,31799,,,,0.901902973651886,0.9091236591339111,0.8216321468353271
39,31799,0.9102609753608704,0.9152584671974182,0.8354658484458923,,,
40,32594,0.9105288982391357,0.9155518412590027,0.8359180688858032,,,
41,33389,0.9111304879188538,0.9161525368690491,0.8369314670562744,,,
42,34184,0.9113587737083435,0.916297972202301,0.8373133540153503,,,
43,34979,0.9122616052627563,0.916816234588623,0.838821291923523,,,
44,35774,,,,0.900235116481781,0.9034205675125122,0.8186436891555786
44,35774,0.9126313924789429,0.9172245264053345,0.8394477367401123,,,
45,36569,0.912926197052002,0.9173518419265747,0.8399403095245361,,,
46,37364,0.9132748246192932,0.9179122447967529,0.8405375480651855,,,
47,38159,0.9136143326759338,0.9181124567985535,0.8411070108413696,,,
48,38954,0.9141597151756287,0.9184018969535828,0.8420218825340271,,,
49,39749,,,,0.91
