epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.6258276104927063,0.7663527131080627,0.3699803948402405,,,
1,1589,0.7074267864227295,0.8202958703041077,0.5785181522369385,,,
2,2384,0.7255622744560242,0.8304725885391235,0.5978499054908752,,,
3,3179,0.7461455464363098,0.8377076387405396,0.6184149980545044,,,
4,3974,,,,0.7758658528327942,0.8423417806625366,0.6475180983543396
4,3974,0.758787214756012,0.8426899313926697,0.6318534016609192,,,
5,4769,0.7736896276473999,0.8489837050437927,0.6483006477355957,,,
6,5564,0.7767149806022644,0.8496472835540771,0.6514384150505066,,,
7,6359,0.785402238368988,0.8540924191474915,0.6616559624671936,,,
8,7154,0.7967478632926941,0.8585031628608704,0.6748238205909729,,,
9,7949,,,,0.8172636032104492,0.8625280261039734,0.6986749172210693
9,7949,0.8014734387397766,0.8609358072280884,0.680612325668335,,,
10,8744,0.807362973690033,0.8630062341690063,0.6876166462898254,,,
11,9539,0.8112948536872864,0.8650035262107849,0.6925608515739441,,,
12,10334,0.8152971267700195,0.8669891953468323,0.6976143717765808,,,
13,11129,0.8193665742874146,0.8686827421188354,0.7026996612548828,,,
14,11924,,,,0.8254035115242004,0.8713196516036987,0.710371196269989
14,11924,0.821404755115509,0.8695253133773804,0.7052795886993408,,,
15,12719,0.8270765542984009,0.8723777532577515,0.7126549482345581,,,
16,13514,0.829689621925354,0.8736122846603394,0.7160816192626953,,,
17,14309,0.8346356749534607,0.8760078549385071,0.722638726234436,,,
18,15104,0.8366400003433228,0.8763217329978943,0.7251186370849609,,,
19,15899,,,,0.840521514415741,0.8740475177764893,0.7296486496925354
19,15899,0.8406161665916443,0.8786746263504028,0.7305982112884521,,,
20,16694,0.8418786525726318,0.8788687586784363,0.7322006821632385,,,
21,17489,0.846298098564148,0.8813427686691284,0.7383421659469604,,,
22,18284,0.8476864695549011,0.8823086023330688,0.7403337359428406,,,
23,19079,0.8487149477005005,0.8827986121177673,0.7417517304420471,,,
24,19874,,,,0.8456334471702576,0.8775931000709534,0.7370046973228455
24,19874,0.8529046773910522,0.8847039341926575,0.7475672960281372,,,
25,20669,0.8543563485145569,0.8854919075965881,0.749626100063324,,,
26,21464,0.8565027713775635,0.8864506483078003,0.7526386380195618,,,
27,22259,0.8582882285118103,0.8876040577888489,0.7552440166473389,,,
28,23054,0.8606012463569641,0.888813316822052,0.7585648894309998,,,
29,23849,,,,0.8558620810508728,0.8833060264587402,0.7513061165809631
29,23849,0.8629570007324219,0.8899810314178467,0.7619562149047852,,,
30,24644,0.8638579845428467,0.8903577327728271,0.7632468938827515,,,
31,25439,0.8649467825889587,0.891142725944519,0.7648785710334778,,,
32,26234,0.8664698600769043,0.8918494582176208,0.7670844793319702,,,
33,27029,0.8676381707191467,0.8925352692604065,0.7688144445419312,,,
34,27824,,,,0.858128011226654,0.8839134573936462,0.7543700933456421
34,27824,0.868939995765686,0.8930687308311462,0.7707018256187439,,,
35,28619,0.8695587515830994,0.8935276865959167,0.7716390490531921,,,
36,29414,0.8698200583457947,0.8935794830322266,0.7720116972923279,,,
37,30209,0.8708193898200989,0.894098699092865,0.7734902501106262,,,
38,31004,0.8704596161842346,0.8940916061401367,0.7729902267456055,,,
39,31799,,,,0.8572321534156799,0.8833112120628357,0.7530931234359741
39,31799,0.8709840774536133,0.8943443298339844,0.7737626433372498,,,
