epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7594718337059021,0.825238049030304,0.46903538703918457,,,
1,1589,0.8131368160247803,0.8641701340675354,0.6941882371902466,,,
2,2384,0.8253403902053833,0.8711830377578735,0.7102053165435791,,,
3,3179,0.8359713554382324,0.8764421939849854,0.7243081331253052,,,
4,3974,,,,0.4950265884399414,0.6110714077949524,0.36323249340057373
4,3974,0.8451851606369019,0.8813337087631226,0.7369179129600525,,,
5,4769,0.8499857187271118,0.8837552666664124,0.7435805201530457,,,
6,5564,0.8533264398574829,0.8850461840629578,0.7481666207313538,,,
7,6359,0.8559686541557312,0.8866264820098877,0.7519630789756775,,,
8,7154,0.8618569374084473,0.8898327946662903,0.7604389190673828,,,
9,7949,,,,0.8237642645835876,0.861961841583252,0.7055810689926147
9,7949,0.8636196255683899,0.8905429840087891,0.7629509568214417,,,
10,8744,0.868224024772644,0.8929798007011414,0.7696923613548279,,,
11,9539,0.8726856112480164,0.8950538039207458,0.7762523293495178,,,
12,10334,0.8728660941123962,0.8952992558479309,0.776548445224762,,,
13,11129,0.8754918575286865,0.8967040777206421,0.7804836630821228,,,
14,11924,,,,0.8563370108604431,0.8685455322265625,0.7494328022003174
14,11924,0.877027690410614,0.8977193236351013,0.7828340530395508,,,
15,12719,0.8803025484085083,0.8993858695030212,0.7877881526947021,,,
16,13514,0.8816121816635132,0.9002148509025574,0.789808452129364,,,
17,14309,0.8829883933067322,0.9008628129959106,0.7919034361839294,,,
18,15104,0.8850662112236023,0.9018900990486145,0.7950894832611084,,,
19,15899,,,,0.793805718421936,0.8689565658569336,0.6759185194969177
19,15899,0.8862518668174744,0.9026979207992554,0.7969492673873901,,,
20,16694,0.8886014223098755,0.9037474393844604,0.8005741834640503,,,
21,17489,0.889880895614624,0.9046077728271484,0.802597165107727,,,
22,18284,0.8902158737182617,0.9048644304275513,0.8031317591667175,,,
23,19079,0.8919405937194824,0.905820369720459,0.8058434724807739,,,
24,19874,,,,0.8803679943084717,0.8981820344924927,0.7877458333969116
24,19874,0.8929199576377869,0.9067012667655945,0.8074309229850769,,,
25,20669,0.8938785195350647,0.907154381275177,0.808937668800354,,,
26,21464,0.895229697227478,0.9078845381736755,0.8110809922218323,,,
27,22259,0.8963367938995361,0.9086058139801025,0.8128561973571777,,,
28,23054,0.8973297476768494,0.9093003273010254,0.8144564032554626,,,
29,23849,,,,0.8745166659355164,0.8919786810874939,0.7784668803215027
29,23849,0.8982563018798828,0.9100288152694702,0.8159619569778442,,,
30,24644,0.8991270065307617,0.9103468060493469,0.8173428177833557,,,
31,25439,0.8998428583145142,0.9108155369758606,0.818500816822052,,,
32,26234,0.9005861878395081,0.9113526940345764,0.8197113871574402,,,
33,27029,0.9012879729270935,0.9117588996887207,0.8208454847335815,,,
34,27824,,,,0.890458881855011,0.9028017520904541,0.8032879829406738
34,27824,0.9017967581748962,0.9121560454368591,0.8216776251792908,,,
35,28619,0.9019443392753601,0.9122095704078674,0.8219138383865356,,,
36,29414,0.9023451805114746,0.9125229716300964,0.8225720524787903,,,
37,30209,0.9028023481369019,0.9127430319786072,0.8233106732368469,,,
38,31004,0.9027103781700134,0.9128291606903076,0.8231730461120605,,,
39,31799,,,,0.8913046717643738,0.9034909009933472,0.8046492338180542
39,31799,0.9029399156570435,0.9127877354621887,0.8235307335853577,,,
