epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7605050802230835,0.8336445093154907,0.4718784987926483,,,
1,1589,0.8156996965408325,0.8673412203788757,0.6980533599853516,,,
2,2384,0.8284942507743835,0.8737617135047913,0.7146255970001221,,,
3,3179,0.8375476598739624,0.8784774541854858,0.7267675995826721,,,
4,3974,,,,0.8589587211608887,0.8850090503692627,0.7557355761528015
4,3974,0.8454589247703552,0.8825309872627258,0.7375657558441162,,,
5,4769,0.8511326909065247,0.8851626515388489,0.7453866600990295,,,
6,5564,0.853061854839325,0.8860064744949341,0.7480612993240356,,,
7,6359,0.8568965792655945,0.8878772854804993,0.7534717321395874,,,
8,7154,0.860758364200592,0.8900254964828491,0.759035587310791,,,
9,7949,,,,0.853168249130249,0.8779104948043823,0.7467889189720154
9,7949,0.8629880547523499,0.8909174203872681,0.7621978521347046,,,
10,8744,0.8666448593139648,0.8928396701812744,0.7675254344940186,,,
11,9539,0.8690988421440125,0.8937817811965942,0.7710649967193604,,,
12,10334,0.8697326183319092,0.8945475816726685,0.772083044052124,,,
13,11129,0.872808575630188,0.8958824276924133,0.7765920758247375,,,
14,11924,,,,0.8620203137397766,0.8806089758872986,0.7590410709381104
14,11924,0.8747720718383789,0.8967698216438293,0.7794996500015259,,,
15,12719,0.8777708411216736,0.8983423709869385,0.7840133309364319,,,
16,13514,0.8783001899719238,0.8989315032958984,0.7848675847053528,,,
17,14309,0.8810632824897766,0.900145411491394,0.789023220539093,,,
18,15104,0.8838064670562744,0.9012020230293274,0.793164074420929,,,
19,15899,,,,0.8651351928710938,0.8859536647796631,0.7641897201538086
19,15899,0.8851093053817749,0.9021083116531372,0.7952038645744324,,,
20,16694,0.8861702680587769,0.9027087688446045,0.7968505620956421,,,
21,17489,0.8875569701194763,0.9034028053283691,0.7989962100982666,,,
22,18284,0.8883522152900696,0.9039961695671082,0.8002567887306213,,,
23,19079,0.8906587362289429,0.9050577282905579,0.8038395643234253,,,
24,19874,,,,0.8729747533798218,0.8952895402908325,0.7767848372459412
24,19874,0.8916346430778503,0.905764639377594,0.8053961992263794,,,
25,20669,0.892147421836853,0.9062275290489197,0.8062244653701782,,,
26,21464,0.8941760659217834,0.9069921374320984,0.8093922138214111,,,
27,22259,0.8950542211532593,0.9076111316680908,0.8108018040657043,,,
28,23054,0.8960981369018555,0.9082527160644531,0.8124697208404541,,,
29,23849,,,,0.887988805770874,0.8993041515350342,0.7991982698440552
29,23849,0.8969084024429321,0.9089529514312744,0.813789963722229,,,
30,24644,0.8975864052772522,0.9092283844947815,0.8148638606071472,,,
31,25439,0.8987525105476379,0.9097580909729004,0.8167221546173096,,,
32,26234,0.8987866640090942,0.9100688695907593,0.8168059587478638,,,
33,27029,0.9000211358070374,0.9106884598731995,0.8187844157218933,,,
34,27824,,,,0.8919603824615479,0.9034730792045593,0.8056621551513672
34,27824,0.9005334973335266,0.9110089540481567,0.819614052772522,,,
35,28619,0.9005356431007385,0.9110574722290039,0.8196210861206055,,,
36,29414,0.9008848667144775,0.9113065004348755,0.8201905488967896,,,
37,30209,0.9010943174362183,0.911406934261322,0.8205277323722839,,,
38,31004,0.9012628197669983,0.91152423620224,0.8208006620407104,,,
39,31799,,,,0.891909122467041,0.9037044048309326,0.8056080341339111
39,31799,0.9016039967536926,0.9116158485412598,0.821344792842865,,,
