epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.761544406414032,0.8230681419372559,0.46965330839157104,,,
1,1589,0.8464316129684448,0.874291718006134,0.7368155121803284,,,
2,2384,0.8629956245422363,0.8849143385887146,0.7610204219818115,,,
3,3179,0.8728058338165283,0.8897952437400818,0.7755883932113647,,,
4,3974,,,,0.8327068090438843,0.8594352006912231,0.7164750099182129
4,3974,0.8799995183944702,0.8950558304786682,0.7867408394813538,,,
5,4769,0.8842644095420837,0.8973506689071655,0.7933387756347656,,,
6,5564,0.8873140215873718,0.8990532159805298,0.7981128096580505,,,
7,6359,0.8861112594604492,0.8985741138458252,0.796247124671936,,,
8,7154,0.8925944566726685,0.9027202725410461,0.8065342307090759,,,
9,7949,,,,0.851367175579071,0.8820796012878418,0.7449396848678589
9,7949,0.8925036191940308,0.9029004573822021,0.8064090609550476,,,
10,8744,0.8951829075813293,0.9046764373779297,0.8107119798660278,,,
11,9539,0.8972218632698059,0.905707061290741,0.8139798045158386,,,
12,10334,0.8969404101371765,0.9057756066322327,0.813542902469635,,,
13,11129,0.8991696238517761,0.9071552157402039,0.81715327501297,,,
14,11924,,,,0.8823882341384888,0.8958044648170471,0.7904590368270874
14,11924,0.9004005789756775,0.9079757928848267,0.8191586136817932,,,
15,12719,0.9019227623939514,0.9094110727310181,0.8216723203659058,,,
16,13514,0.903264045715332,0.910197913646698,0.8238651156425476,,,
17,14309,0.9043987393379211,0.9107732176780701,0.8257195949554443,,,
18,15104,0.9051098823547363,0.911100447177887,0.8268845677375793,,,
19,15899,,,,0.8999679088592529,0.9052218794822693,0.8182976841926575
19,15899,0.9063841700553894,0.9120421409606934,0.8289948105812073,,,
20,16694,0.9071269631385803,0.9126688838005066,0.8302309513092041,,,
21,17489,0.9080155491828918,0.9133050441741943,0.8317074775695801,,,
22,18284,0.9085375666618347,0.9136595726013184,0.8325751423835754,,,
23,19079,0.9096086621284485,0.9143276810646057,0.8343573212623596,,,
24,19874,,,,0.8923860192298889,0.8946194648742676,0.8057295083999634
24,19874,0.9106771349906921,0.9152188897132874,0.836147665977478,,,
25,20669,0.9112714529037476,0.9157581925392151,0.8371473550796509,,,
26,21464,0.9116672277450562,0.9159314632415771,0.8378070592880249,,,
27,22259,0.9123721122741699,0.916531503200531,0.8389928936958313,,,
28,23054,0.9131253957748413,0.917140543460846,0.8402611017227173,,,
29,23849,,,,0.9023046493530273,0.9058384299278259,0.822090208530426
29,23849,0.913703978061676,0.9175689816474915,0.8412359356880188,,,
30,24644,0.9143100380897522,0.9179350137710571,0.842255175113678,,,
31,25439,0.914861261844635,0.918452262878418,0.8431891798973083,,,
32,26234,0.9150281548500061,0.9185970425605774,0.8434715270996094,,,
33,27029,0.9155979752540588,0.9190768003463745,0.8444366455078125,,,
34,27824,,,,0.9034380912780762,0.9070433974266052,0.8239760398864746
34,27824,0.9160237312316895,0.91938316822052,0.8451569080352783,,,
35,28619,0.9161484837532043,0.9195676445960999,0.8453710675239563,,,
36,29414,0.9163151383399963,0.919625461101532,0.8456510901451111,,,
37,30209,0.916394829750061,0.919732928276062,0.845788300037384,,,
38,31004,0.9165953397750854,0.919884443283081,0.846127986907959,,,
39,31799,,,,0.9035990834236145,0.9072112441062927,0.8242528438568115
39,31799,0.9167319536209106,0.9200580716133118,0.8463613986968994,,,
