epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7684235572814941,0.8243010640144348,0.4750867784023285,,,
1,1589,0.8456581234931946,0.8732715845108032,0.7355825304985046,,,
2,2384,0.8645517826080322,0.8860492706298828,0.7633621692657471,,,
3,3179,0.8694998621940613,0.8875933885574341,0.7705458998680115,,,
4,3974,,,,0.8499203324317932,0.8791918754577637,0.7431092262268066
4,3974,0.8793908953666687,0.8947077393531799,0.7858006954193115,,,
5,4769,0.8846513628959656,0.8978769779205322,0.7939754128456116,,,
6,5564,0.8864515423774719,0.8989121317863464,0.7967931628227234,,,
7,6359,0.8882565498352051,0.9003735780715942,0.799674928188324,,,
8,7154,0.8918786644935608,0.9023506045341492,0.8053963780403137,,,
9,7949,,,,0.8854662179946899,0.8934428691864014,0.7947929501533508
9,7949,0.89186030626297,0.9026927947998047,0.8053992986679077,,,
10,8744,0.8947275876998901,0.9045009016990662,0.8099889159202576,,,
11,9539,0.8967256546020508,0.9056889414787292,0.8131980895996094,,,
12,10334,0.8967613577842712,0.9060657024383545,0.8132840394973755,,,
13,11129,0.8975651860237122,0.9063621163368225,0.8145660758018494,,,
14,11924,,,,0.8872749209403992,0.8929527401924133,0.7975684404373169
14,11924,0.8992135524749756,0.9072602987289429,0.8172289729118347,,,
15,12719,0.9011927843093872,0.9090752601623535,0.8204872608184814,,,
16,13514,0.9013369679450989,0.9092774391174316,0.8207308650016785,,,
17,14309,0.9025431275367737,0.9097635746002197,0.8226832747459412,,,
18,15104,0.9041269421577454,0.9105374217033386,0.8252678513526917,,,
19,15899,,,,0.8972855806350708,0.9036245942115784,0.8139375448226929
19,15899,0.9043951034545898,0.9111424088478088,0.8257338404655457,,,
20,16694,0.9054749011993408,0.9115284085273743,0.8274940252304077,,,
21,17489,0.9065157175064087,0.9121748208999634,0.8292140960693359,,,
22,18284,0.9057738184928894,0.9118341207504272,0.8279939293861389,,,
23,19079,0.9074109196662903,0.9128037691116333,0.8306984901428223,,,
24,19874,,,,0.8991321921348572,0.9038147330284119,0.8168856501579285
24,19874,0.9084193110466003,0.9135897159576416,0.8323776125907898,,,
25,20669,0.908606231212616,0.9139621257781982,0.832700252532959,,,
26,21464,0.9090113639831543,0.9139813780784607,0.8333635926246643,,,
27,22259,0.9092598557472229,0.9144030809402466,0.8337885737419128,,,
28,23054,0.9107980132102966,0.915418267250061,0.8363540172576904,,,
29,23849,,,,0.9029794335365295,0.9076892733573914,0.8232588171958923
29,23849,0.910959005355835,0.915686309337616,0.8366302847862244,,,
30,24644,0.9115315079689026,0.9158823490142822,0.8375804424285889,,,
31,25439,0.912575900554657,0.9167584180831909,0.8393369317054749,,,
32,26234,0.912297248840332,0.9165858626365662,0.838870644569397,,,
33,27029,0.9139075875282288,0.9179020524024963,0.8415845036506653,,,
34,27824,,,,0.905550479888916,0.9103126525878906,0.8275497555732727
34,27824,0.914147675037384,0.9179685711860657,0.841985285282135,,,
35,28619,0.9142213463783264,0.9180264472961426,0.8421096205711365,,,
36,29414,0.9149853587150574,0.9188632369041443,0.8434079885482788,,,
37,30209,0.9156147837638855,0.9192866683006287,0.8444706797599792,,,
38,31004,0.9158473014831543,0.9194410443305969,0.8448653221130371,,,
39,31799,,,,0.9042609333992004,0.908798336982727,0.8253819942474365
39,31799,0.9166943430900574,0.9201871752738953,0.8463021516799927,,,
40,32594,0.9172179698944092,0.920647919178009,0.8471930027008057,,,
41,33389,0.9176056981086731,0.9209620356559753,0.8478516936302185,,,
42,34184,0.9177616238594055,0.9208739995956421,0.848112165927887,,,
43,34979,0.9186312556266785,0.9217847585678101,0.8495973348617554,,,
44,35774,,,,0.9053759574890137,0.9086818695068359,0.8271946907043457
44,35774,0.919375479221344,0.9225373864173889,0.8508703112602234,,,
45,36569,0.9195254445075989,0.9226288199424744,0.8511263132095337,,,
46,37364,0.920102059841156,0.9232438802719116,0.8521146774291992,,,
47,38159,0.9205795526504517,0.9237152338027954,0.8529335856437683,,,
48,38954,0.921032726764679,0.9240350127220154,0.8537075519561768,,,
49,39749,,,,0.9027976989746094,0.9049721360206604,0.8228698968887329
49,39749,0.9213210344314575,0.9243388772010803,0.8542032837867737,,,
50,40544,0.9220518469810486,0.9250307083129883,0.8554589748382568,,,
51,41339,0.922050952911377,0.9251871705055237,0.855461597442627,,,
52,42134,0.9229376316070557,0.9258272647857666,0.8569812178611755,,,
53,42929,0.9231807589530945,0.9261584877967834,0.8574020862579346,,,
54,43724,,,,0.8713722229003906,0.8619719743728638,0.7724767923355103
54,43724,0.9236018061637878,0.9265564680099487,0.8581277132034302,,,
