epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7001882791519165,0.8005439043045044,0.4224274158477783,,,
1,1589,0.7748207449913025,0.8460713028907776,0.6481138467788696,,,
2,2384,0.7854142785072327,0.851925790309906,0.6607397794723511,,,
3,3179,0.8028025031089783,0.8612232804298401,0.6820909976959229,,,
4,3974,,,,0.4833315312862396,0.5995342135429382,0.3590298891067505
4,3974,0.8131464123725891,0.8670635223388672,0.6952545046806335,,,
5,4769,0.8166698217391968,0.868541419506073,0.6996404528617859,,,
6,5564,0.8240118026733398,0.8720130324363708,0.7090251445770264,,,
7,6359,0.8280242085456848,0.8744549751281738,0.714404284954071,,,
8,7154,0.8336248397827148,0.8767235279083252,0.7216496467590332,,,
9,7949,,,,0.8009417057037354,0.8515710234642029,0.6768784523010254
9,7949,0.8363622426986694,0.8778344392776489,0.7252312898635864,,,
10,8744,0.843817412853241,0.8814437985420227,0.7353053092956543,,,
11,9539,0.8469484448432922,0.8828433752059937,0.739555835723877,,,
12,10334,0.8496595025062561,0.8839689493179321,0.7432460188865662,,,
13,11129,0.853407084941864,0.8854461312294006,0.748386561870575,,,
14,11924,,,,0.8037664294242859,0.8534865975379944,0.6813231706619263
14,11924,0.855535089969635,0.8866375088691711,0.7514256834983826,,,
15,12719,0.85915207862854,0.8885930776596069,0.7566021680831909,,,
16,13514,0.8602224588394165,0.8894287943840027,0.7582010626792908,,,
17,14309,0.8638979196548462,0.8910273313522339,0.7634450197219849,,,
18,15104,0.8652728796005249,0.8917250633239746,0.7654391527175903,,,
19,15899,,,,0.8628754019737244,0.8875793218612671,0.761517345905304
19,15899,0.8675211668014526,0.892951488494873,0.7687380909919739,,,
20,16694,0.8683676719665527,0.893485963344574,0.769999623298645,,,
21,17489,0.8711175322532654,0.8947630524635315,0.774026095867157,,,
22,18284,0.8719725608825684,0.8952601552009583,0.7753043174743652,,,
23,19079,0.8734811544418335,0.8960651755332947,0.7775528430938721,,,
24,19874,,,,0.8040690422058105,0.8635721206665039,0.6842551231384277
24,19874,0.8752651214599609,0.8973159193992615,0.7802792191505432,,,
25,20669,0.8761278390884399,0.8977466225624084,0.7815685868263245,,,
26,21464,0.8776336908340454,0.8985154032707214,0.7838331460952759,,,
27,22259,0.8799319267272949,0.8995814323425293,0.787287712097168,,,
28,23054,0.8802013993263245,0.9000301957130432,0.7877486348152161,,,
29,23849,,,,0.8473813533782959,0.8779038786888123,0.7393178939819336
29,23849,0.8814617991447449,0.9007765650749207,0.7896794676780701,,,
30,24644,0.8822071552276611,0.9010763764381409,0.7908020615577698,,,
31,25439,0.8833144903182983,0.9017881751060486,0.7925177216529846,,,
32,26234,0.8843517303466797,0.9021551609039307,0.794082760810852,,,
33,27029,0.8844910264015198,0.9024797081947327,0.7943354845046997,,,
34,27824,,,,0.8750959038734436,0.8949486017227173,0.7797108888626099
34,27824,0.8859516978263855,0.9032567143440247,0.7965860962867737,,,
35,28619,0.8860681056976318,0.9032211899757385,0.7967510223388672,,,
36,29414,0.8868007063865662,0.903682291507721,0.7978962063789368,,,
37,30209,0.8868817090988159,0.9037185907363892,0.7980201244354248,,,
38,31004,0.887035608291626,0.9038650393486023,0.798266589641571,,,
39,31799,,,,0.8767972588539124,0.8956494331359863,0.7822489738464355
39,31799,0.8869426250457764,0.9037775993347168,0.7981177568435669,,,
