epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.7300061583518982,0.8055984973907471,0.4421638250350952,,,
1,1589,0.8325148820877075,0.8691471815109253,0.7181070446968079,,,
2,2384,0.8515651226043701,0.8800595998764038,0.744743824005127,,,
3,3179,0.8606463074684143,0.8854208588600159,0.7579049468040466,,,
4,3974,,,,0.8641987442970276,0.8870152831077576,0.7633064389228821
4,3974,0.8672913908958435,0.8892933130264282,0.7677168846130371,,,
5,4769,0.8774256110191345,0.894812285900116,0.7829388380050659,,,
6,5564,0.8847977519035339,0.8994590044021606,0.7943618893623352,,,
7,6359,0.8927202224731445,0.9041208624839783,0.80683833360672,,,
8,7154,0.8984555602073669,0.9082174897193909,0.816095769405365,,,
9,7949,,,,0.877780556678772,0.8944975137710571,0.7834566235542297
9,7949,0.9060954451560974,0.9130807518959045,0.8285738825798035,,,
10,8744,0.911006510257721,0.917351245880127,0.8367801904678345,,,
11,9539,0.9154028296470642,0.9208946228027344,0.8441789746284485,,,
12,10334,0.9189648032188416,0.9239727258682251,0.850230872631073,,,
13,11129,0.9213719367980957,0.9263395667076111,0.8543571829795837,,,
14,11924,,,,0.8819300532341003,0.8974401354789734,0.789930522441864
14,11924,0.9203615188598633,0.9266402125358582,0.8526922464370728,,,
15,12719,0.9261847734451294,0.9305269122123718,0.8626390695571899,,,
16,13514,0.9267794489860535,0.9315465688705444,0.8636895418167114,,,
17,14309,0.9292397499084473,0.9332637190818787,0.8679395914077759,,,
18,15104,0.9292404651641846,0.9337484240531921,0.8679590821266174,,,
19,15899,,,,0.8809501528739929,0.8965801000595093,0.7883490920066833
19,15899,0.9318866729736328,0.9355912804603577,0.8725557327270508,,,
20,16694,0.9330413937568665,0.936515748500824,0.8745741248130798,,,
21,17489,0.9340522289276123,0.9375038743019104,0.8763505220413208,,,
22,18284,0.9352370500564575,0.9385533332824707,0.8784335255622864,,,
23,19079,0.9363495111465454,0.9395621418952942,0.8803945779800415,,,
24,19874,,,,0.8803466558456421,0.8960644602775574,0.7874064445495605
24,19874,0.937268078327179,0.9404810667037964,0.8820191621780396,,,
25,20669,0.9382506012916565,0.9413335919380188,0.8837564587593079,,,
26,21464,0.9391188621520996,0.9421422481536865,0.885296106338501,,,
27,22259,0.9399510025978088,0.942876398563385,0.8867727518081665,,,
28,23054,0.9406495094299316,0.9435045123100281,0.8880146741867065,,,
29,23849,,,,0.878298282623291,0.8944725394248962,0.7841973900794983
29,23849,0.9414312839508057,0.944215714931488,0.8894068598747253,,,
30,24644,0.9420471787452698,0.9447363018989563,0.8905039429664612,,,
31,25439,0.9425356388092041,0.9452616572380066,0.891377866268158,,,
32,26234,0.9433133006095886,0.9458774328231812,0.8927654027938843,,,
33,27029,0.9435826539993286,0.9460445046424866,0.8932456970214844,,,
34,27824,,,,0.8779497146606445,0.8940585851669312,0.7836455702781677
34,27824,0.9438378214836121,0.9463992714881897,0.8937050700187683,,,
35,28619,0.9442301392555237,0.9467202425003052,0.8944068551063538,,,
36,29414,0.9442568421363831,0.9467847943305969,0.8944557309150696,,,
37,30209,0.9444087147712708,0.946944534778595,0.8947282433509827,,,
38,31004,0.9445762038230896,0.9470800161361694,0.8950281143188477,,,
39,31799,,,,0.8770186901092529,0.893589973449707,0.7822255492210388
39,31799,0.9446442723274231,0.9471590518951416,0.8951504826545715,,,
