epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.5609590411186218,0.7907826900482178,0.3530599772930145,,,
1,1589,0.7952011823654175,0.8595704436302185,0.6731866598129272,,,
2,2384,0.8402424454689026,0.8763577342033386,0.7294712066650391,,,
3,3179,0.8558521866798401,0.8839296102523804,0.7512025237083435,,,
4,3974,,,,0.8542674779891968,0.8787192106246948,0.7483142614364624
4,3974,0.8628081679344177,0.8874713182449341,0.7612321972846985,,,
5,4769,0.8735275864601135,0.8929776549339294,0.7770786881446838,,,
6,5564,0.8824010491371155,0.898438572883606,0.7906923294067383,,,
7,6359,0.8901247382164001,0.902919352054596,0.802757740020752,,,
8,7154,0.8956054449081421,0.906639575958252,0.8115234375,,,
9,7949,,,,0.8775513768196106,0.89452064037323,0.7831188440322876
9,7949,0.9026864171028137,0.9113698601722717,0.8230106234550476,,,
10,8744,0.9093915224075317,0.916628360748291,0.8341143727302551,,,
11,9539,0.9140281677246094,0.9199627041816711,0.8418662548065186,,,
12,10334,0.9171904921531677,0.9228691458702087,0.8472306132316589,,,
13,11129,0.9203065633773804,0.9257417917251587,0.8525485396385193,,,
14,11924,,,,0.8809261918067932,0.8959643840789795,0.7882509231567383
14,11924,0.9224499464035034,0.9275363087654114,0.8562160134315491,,,
15,12719,0.9247874021530151,0.9295039176940918,0.8602334856987,,,
16,13514,0.92652428150177,0.9309801459312439,0.8632317781448364,,,
17,14309,0.9279025793075562,0.9322808980941772,0.8656238317489624,,,
18,15104,0.9291224479675293,0.9334545731544495,0.8677454590797424,,,
19,15899,,,,0.8800833821296692,0.8952116370201111,0.7868970632553101
19,15899,0.9308531284332275,0.934769868850708,0.8707528114318848,,,
20,16694,0.9319996237754822,0.9357210993766785,0.8727536201477051,,,
21,17489,0.9332892894744873,0.9367983937263489,0.8750098943710327,,,
22,18284,0.934411883354187,0.9377458095550537,0.876979410648346,,,
23,19079,0.9354591369628906,0.9386864304542542,0.8788219690322876,,,
24,19874,,,,0.8787240386009216,0.8947590589523315,0.7848578691482544
24,19874,0.9365524053573608,0.9396882057189941,0.8807502388954163,,,
25,20669,0.937489926815033,0.940527081489563,0.88240647315979,,,
26,21464,0.9383932948112488,0.9413190484046936,0.8840048909187317,,,
27,22259,0.9392284154891968,0.942089855670929,0.8854859471321106,,,
28,23054,0.9399470090866089,0.9427435398101807,0.8867620229721069,,,
29,23849,,,,0.8763094544410706,0.8928670883178711,0.7810842394828796
29,23849,0.9406516551971436,0.9433609843254089,0.8880144953727722,,,
30,24644,0.941298246383667,0.9439184665679932,0.8891650438308716,,,
31,25439,0.9418830275535583,0.944490373134613,0.8902084827423096,,,
32,26234,0.9425607323646545,0.9450486302375793,0.8914167881011963,,,
33,27029,0.9428451061248779,0.945227324962616,0.8919233083724976,,,
34,27824,,,,0.876549482345581,0.8930860757827759,0.7814787030220032
34,27824,0.9431804418563843,0.9456067681312561,0.8925241231918335,,,
35,28619,0.9435802698135376,0.9459375739097595,0.8932387828826904,,,
36,29414,0.9436155557632446,0.9460132718086243,0.8933029174804688,,,
37,30209,0.9437252283096313,0.9461351633071899,0.8934996724128723,,,
38,31004,0.9439084529876709,0.9462857246398926,0.8938273787498474,,,
39,31799,,,,0.8760749697685242,0.8927618861198425,0.7807452082633972
39,31799,0.9439557790756226,0.9463493824005127,0.8939124941825867,,,
