epoch,step,train_F1,train_OA,train_mIoU,val_F1,val_OA,val_mIoU
0,794,0.6687263250350952,0.8116917014122009,0.5442699790000916,,,
1,1589,0.8186850547790527,0.8648022413253784,0.700549840927124,,,
2,2384,0.8463652729988098,0.8781555891036987,0.7376116514205933,,,
3,3179,0.8589248657226562,0.8850398659706116,0.755518913269043,,,
4,3974,,,,0.864876389503479,0.8858487606048584,0.7639690041542053
4,3974,0.8652220368385315,0.8881075382232666,0.7646494507789612,,,
5,4769,0.8758772611618042,0.8936928510665894,0.7805460691452026,,,
6,5564,0.8837217092514038,0.8985154032707214,0.7926502227783203,,,
7,6359,0.892082929611206,0.9035753011703491,0.8058093786239624,,,
8,7154,0.8953572511672974,0.9063584804534912,0.8111138343811035,,,
9,7949,,,,0.8788084983825684,0.8946832418441772,0.784990131855011
9,7949,0.9048724174499512,0.91206955909729,0.8265464901924133,,,
10,8744,0.9099591970443726,0.9165896773338318,0.8350340723991394,,,
11,9539,0.9141355156898499,0.9197483658790588,0.842034101486206,,,
12,10334,0.9163001775741577,0.9223172664642334,0.8457319140434265,,,
13,11129,0.9199001789093018,0.9251787066459656,0.8518471717834473,,,
14,11924,,,,0.8794331550598145,0.89516681432724,0.7859598994255066
14,11924,0.9203028678894043,0.9259352684020996,0.8525537848472595,,,
15,12719,0.9247671365737915,0.9292530417442322,0.8601901531219482,,,
16,13514,0.9229666590690613,0.9290525913238525,0.8571619987487793,,,
17,14309,0.927183985710144,0.931546688079834,0.8643752336502075,,,
18,15104,0.9285548329353333,0.9328482747077942,0.8667568564414978,,,
19,15899,,,,0.8773941397666931,0.8946796655654907,0.7829030752182007
19,15899,0.9296684265136719,0.9340108036994934,0.8687001466751099,,,
20,16694,0.9306398630142212,0.9345325231552124,0.8703798055648804,,,
21,17489,0.932250440120697,0.9359574317932129,0.8731940388679504,,,
22,18284,0.9329946041107178,0.936607301235199,0.8744973540306091,,,
23,19079,0.9335587620735168,0.9370689988136292,0.8754849433898926,,,
24,19874,,,,0.8774663209915161,0.8934911489486694,0.7828581929206848
24,19874,0.9348506927490234,0.9385824799537659,0.8777669072151184,,,
25,20669,0.9364027380943298,0.9398761987686157,0.8804972767829895,,,
26,21464,0.9368212819099426,0.9400784373283386,0.8812306523323059,,,
27,22259,0.9382154941558838,0.9414639472961426,0.8836998343467712,,,
28,23054,0.9390923380851746,0.9422739148139954,0.8852541446685791,,,
29,23849,,,,0.8721522092819214,0.8911307454109192,0.774882435798645
29,23849,0.9397702217102051,0.9429358839988708,0.8864590525627136,,,
30,24644,0.9409762024879456,0.94395911693573,0.8886013031005859,,,
31,25439,0.9419168829917908,0.9449889063835144,0.8902823328971863,,,
32,26234,0.9428732395172119,0.9458726048469543,0.8919901847839355,,,
33,27029,0.9435020089149475,0.946240246295929,0.8931090235710144,,,
34,27824,,,,0.8787520527839661,0.894090473651886,0.7848188877105713
34,27824,0.9440556168556213,0.9469515085220337,0.8941050171852112,,,
35,28619,0.9453858733177185,0.9482135772705078,0.8964917063713074,,,
36,29414,0.9443278908729553,0.947754442691803,0.8946101069450378,,,
37,30209,0.9469823241233826,0.9497584104537964,0.8993644118309021,,,
38,31004,0.9475566744804382,0.9503757953643799,0.9004018902778625,,,
39,31799,,,,0.8765960931777954,0.8927391171455383,0.7815017700195312
39,31799,0.9482987523078918,0.9509730339050293,0.9017385244369507,,,
40,32594,0.9482167363166809,0.9509381651878357,0.901591420173645,,,
41,33389,0.9489603042602539,0.9515741467475891,0.9029335975646973,,,
42,34184,0.9502232670783997,0.9527433514595032,0.9052199125289917,,,
43,34979,0.950143039226532,0.9527880549430847,0.9050773978233337,,,
44,35774,,,,0.873444676399231,0.8904246091842651,0.776620090007782
44,35774,0.9505449533462524,0.953295886516571,0.9058093428611755,,,
45,36569,0.9514113664627075,0.9539036750793457,0.9073771834373474,,,
46,37364,0.9520281553268433,0.9545735716819763,0.9085003733634949,,,
47,38159,0.9526578187942505,0.9550597667694092,0.9096440076828003,,,
48,38954,0.9533271789550781,0.9556594491004944,0.9108632206916809,,,
49,39749,,,,0.8728223443031311,0.89024418592453,0.7757049798965454
49,39749,0.9533776640892029,0.9558365345001221,0.9109581708908081,,,
50,40544,0.9533928632736206,0.9558361768722534,0.9109856486320496,,,
51,41339,0.9546631574630737,0.9570297598838806,0.9133052825927734,,,
52,42134,0.9548254013061523,0.9572144746780396,0.9136024117469788,,,
53,42929,0.9550297260284424,0.9574374556541443,0.9139769077301025,,,
54,43724,,,,0.8726871013641357,0.8885143399238586,0.7752685546875
54,43724,0.9553278088569641,0.9576877951622009,0.9145217537879944,,,
55,44519,0.9553923606872559,0.9578449130058289,0.9146421551704407,,,
56,45314,0.9559205174446106,0.9582372903823853,0.9156071543693542,,,
57,46109,0.9564461708068848,0.958624541759491,0.9165687561035156,,,
58,46904,0.9564761519432068,0.9588401913642883,0.916627824306488,,,
59,47699,,,,0.8720691800117493,0.8887854218482971,0.774419367313385
59,47699,0.9572685956954956,0.9593891501426697,0.9180787205696106,,,
60,48494,0.9575721621513367,0.9596973061561584,0.9186370372772217,,,
61,49289,0.9575852155685425,0.9597505331039429,0.918661892414093,,,
62,50084,0.9584857225418091,0.9604726433753967,0.9203166365623474,,,
63,50879,0.9581024050712585,0.9602738618850708,0.9196140766143799,,,
64,51674,,,,0.871616542339325,0.8884320855140686,0.7737294435501099
64,51674,0.958803653717041,0.9608867764472961,0.9209045767784119,,,
65,52469,0.9587510824203491,0.9608935117721558,0.9208088517189026,,,
66,53264,0.9588407874107361,0.960945725440979,0.9209734201431274,,,
67,54059,0.9593229293823242,0.9613580107688904,0.9218617677688599,,,
68,54854,0.9597968459129333,0.9617983102798462,0.9227363467216492,,,
69,55649,,,,0.8705512285232544,0.8875312209129333,0.7720851302146912
69,55649,0.9600974917411804,0.9620966911315918,0.9232920408248901,,,
70,56444,0.9601030349731445,0.9621078968048096,0.9233022928237915,,,
71,57239,0.9604650735855103,0.9624373316764832,0.9239712357521057,,,
72,58034,0.9604341387748718,0.9623628854751587,0.923913300037384,,,
73,58829,0.9608057737350464,0.9627190232276917,0.9246007204055786,,,
74,59624,,,,0.8685523271560669,0.8861317038536072,0.7690349221229553
74,59624,0.9608200192451477,0.9626806378364563,0.9246260523796082,,,
75,60419,0.9607429504394531,0.962651252746582,0.9244843125343323,,,
76,61214,0.9612553715705872,0.9631347060203552,0.9254327416419983,,,
77,62009,0.9616600871086121,0.9635434746742249,0.9261831045150757,,,
78,62804,0.9613134860992432,0.9630813002586365,0.9255385398864746,,,
79,63599,,,,0.8680756092071533,0.8858103156089783,0.7683120369911194
79,63599,0.9618339538574219,0.9636848568916321,0.926504909992218,,,
80,64394,0.9614827632904053,0.9634363651275635,0.9258555173873901,,,
81,65189,0.962079644203186,0.9638766050338745,0.9269599318504333,,,
82,65984,0.9622664451599121,0.9640281796455383,0.9273058772087097,,,
83,66779,0.9622900485992432,0.9640578627586365,0.9273499846458435,,,
84,67574,,,,0.8664141297340393,0.884840190410614,0.7658153176307678
84,67574,0.9620991945266724,0.9638611078262329,0.9269954562187195,,,
85,68369,0.9621347188949585,0.9639778137207031,0.92706298828125,,,
86,69164,0.9629361033439636,0.9646050333976746,0.9285485744476318,,,
87,69959,0.9625145196914673,0.9643484354019165,0.927767813205719,,,
88,70754,0.9622239470481873,0.9640706777572632,0.9272284507751465,,,
