train_mIoU,train_OA,step,epoch,train_F1
0.15683287781393918,0.4646801600640423,698,0,0.3183990028816172
0.2089716761459455,0.4687140468875737,1397,1,0.4754478293926989
0.21048373685957378,0.46818046951839676,2096,2,0.47945505192454485
0.21639652982609914,0.4788472362512852,2795,3,0.48944611087168344
0.21323423933575622,0.47190038329030304,3494,4,0.4846709757958734
0.21176329490894782,0.4703234671182045,4193,5,0.481481487287745
0.2129792971559227,0.48359819884293404,4892,6,0.4786611222313244
0.21171702009146762,0.4702649205198274,5591,7,0.48183288668467017
0.21869009836754869,0.48330736501363547,6290,8,0.49307308506638703
0.21692512418950616,0.4792663181288559,6989,9,0.4906569919309061
0.20948362793277645,0.46899304915224865,7688,10,0.4765308569328316
0.20788370049210794,0.46545798720549436,8387,11,0.47431864211893127
0.21197120738948558,0.47068264897118645,9086,12,0.4823423394221037
0.20509602130593887,0.4620252180849874,9785,13,0.468797450971259
0.20715710199622703,0.4664109738940673,10484,14,0.4718255101164661
