step,train_mIoU,train_OA,epoch,train_F1
698,0.15728809030602967,0.4677274646677172,0,0.3183901668608727
1397,0.2163418820827605,0.48204365786223613,1,0.4876956611533905
2096,0.21238915009373138,0.4719715254842296,2,0.48250314466122657
2795,0.21765367598110563,0.48061518198430786,3,0.4916807854167371
3494,0.21264001510389496,0.470911596295489,4,0.4836436441835511
4193,0.20968693254111467,0.4675465203150147,5,0.4775666582711811
4892,0.20867396367166954,0.4786171974542314,6,0.4701905771738576
5591,0.2093793142979384,0.4663021540607675,7,0.4777881859105947
6290,0.21074519553898208,0.47042052087524583,8,0.47920886515912564
6989,0.21691959945749809,0.48021428404277305,9,0.4902768687712326
7688,0.21685993541700035,0.4816819437924713,10,0.4891251185411516
