epoch,step,train_F1,train_OA,train_mIoU
0,698,0.32248671388706907,0.46967139946715164,0.15948829815211024
1,1397,0.4804993245389866,0.4730779950710836,0.21180675788076883
2,2096,0.4894151897275696,0.47781627474936283,0.21622623051185288
3,2795,0.49206807269518715,0.4807370340022576,0.21782368089998913
4,3494,0.4818088732975759,0.4692175214382711,0.21159586497697636
5,4193,0.4836347346798548,0.4724879449017569,0.21301800292103334
6,4892,0.4660813224246949,0.4776444769383158,0.20694819583187704
7,5591,0.4772583168702641,0.4658739256415414,0.20908776040054408
8,6290,0.48502254686576374,0.47607884659446525,0.2141070150518547
9,6989,0.4822722756865768,0.4716644941993025,0.212146112332564
10,7688,0.47888809606074645,0.47284267354591375,0.21118730611362369
11,8387,0.4759550674335264,0.46936541599606574,0.20923641726022812
