train_mIoU,train_OA,train_F1,train_R2,step,epoch
0.008679081414172453,0.8601314549905538,0.4686129333300088,0.47971210057416114,698,0
0.44901377572420254,0.8980275514484046,0.9462745161555854,0.8509444715429522,1397,1
0.4493780641761146,0.8987561283522287,0.9466788440411081,0.8519817060028483,2096,2
0.4498342161514635,0.8996684323029266,0.9471846949757211,0.8532810672393277,2795,3
0.4497917733841831,0.8995835467683658,0.9471376484585448,0.8531601413719673,3494,4
0.44768272238265144,0.8953654447653024,0.9447945220676672,0.8471579843044198,4193,5
0.44916612050663296,0.8983322410132655,0.9464436431146177,0.8513781924179927,4892,6
0.4511161174965373,0.9022322349930741,0.9486036651001862,0.856935959651052,5591,7
0.44993283710751386,0.8998656742150274,0.9472939970735852,0.8535620742610577,6290,8
0.4512635661231405,0.9025271322462806,0.9487666345979336,0.857356675683492,6989,9
0.44774929643793754,0.8954985928758746,0.9448686443150697,0.8473472424262346,7688,10
