train_mIoU,train_R2,train_F1,epoch,step,train_OA
0.2600187299884663,0.3229770666857717,0.4598367090772795,0,698,0.6591694276561382
0.3903349506322333,0.37951291406464055,0.49389583671940374,1,1397,0.7176996102831052
0.40845875287417294,0.4012765974134641,0.5083404145811686,2,2096,0.7376606385936381
0.42687234746379227,0.42364197141585713,0.5236431784938234,3,2795,0.7570216406738979
0.44029289213464234,0.43934088002955596,0.5341690669494259,4,3494,0.7702890158722839
0.4381536781878068,0.43659814597570235,0.5330556781237706,5,4193,0.7674945836756191
0.44534128090655106,0.4455416939143566,0.5399754176565584,6,4892,0.7742802697701514
0.44909994571922507,0.44927762211928235,0.5444580579178119,7,5591,0.7759643467369679
0.45633530988041526,0.4577641665622486,0.5527618227299377,8,6290,0.7810138926144491
0.46128705626206495,0.46415970913668636,0.5540299945451771,9,6989,0.7882703745655064
