step,train_mIoU,train_F1,epoch,train_OA,val_mIoU,val_F1,val_OA
559,0.16802812591581145,0.25757413713373617,0,0.46968208690386576,,,
1119,0.2133101249835551,0.360011823310369,1,0.5340745183490485,,,
1679,0.26088201104119274,0.4354526708271473,2,0.5748165405354343,,,
2239,0.30529214136125027,0.4975440250323893,3,0.6151250734027779,,,
2799,0.3279681347834258,0.5287799354847639,4,0.6282499708294822,,,
3359,0.3453147664477818,0.5497841105046712,5,0.6484339937927738,,,
3919,0.3658958133951303,0.5743348966154137,6,0.6676613921265692,,,
4479,0.37873833004125734,0.5899945998031775,7,0.6758855723022756,,,
5039,0.39759077533955217,0.6115495927005028,8,0.6916056385102016,,,
5599,0.4030632071813837,0.6178453104731697,9,0.6966071419247232,,,
6159,0.4099821338198372,0.6247898010464014,10,0.703846888291386,,,
6719,0.41990332092636695,0.5562587386936211,11,0.7158517150291185,,,
7279,0.4306668486160836,0.5664019908602735,12,0.7229064784472159,,,
7839,0.4282206183605154,0.5643239620022575,13,0.7222015518085075,,,
8399,0.44954440913836957,0.5828117996165207,14,0.7425651931620578,,,
8959,0.4567293145914417,0.5907729700522919,15,0.7447576443844902,,,
9519,0.4626866676754735,0.5960604551407134,16,0.7518622196775898,,,
10079,0.47450539949430853,0.6065681348084211,17,0.7598926413567179,,,
10639,0.47797676712493004,0.6087241138359649,18,0.7691461495930165,,,
11199,0.485199880513521,0.6155238841729659,19,0.7737675926183666,,,
11759,0.4919487811703408,0.6225552676793633,20,0.7748751557995409,,,
12319,0.4887390806014473,0.6196087341278589,21,0.774932604804196,,,
12879,0.4989682559167104,0.6313976784593056,22,0.7780913456784737,,,
13439,0.5003480492793624,0.6317365383576862,23,0.7815657149915889,,,
13999,0.5161801959286869,0.6469068223339509,24,0.7907403347785701,,,
14559,0.5180611163147688,0.6480667945747337,25,0.7935409240085155,,,
15119,0.5280803906174829,0.658988662318843,26,0.800162144573479,,,
15679,0.5293908588446543,0.6621284091897897,27,0.798801877212508,,,
16239,0.5315998230108675,0.6626398354667287,28,0.8045196660373269,,,
16799,0.5334779426777014,0.6654222234169097,29,0.8036409457297942,,,
17359,0.5407647754702564,0.6727053835387033,30,0.8080557705670381,,,
17919,0.5446947066679215,0.6751076945875287,31,0.8122665021709642,,,
18479,0.5407239343637045,0.6731715423137519,32,0.8056673021087473,,,
19039,0.5481939928405587,0.6796452883664064,33,0.8124922736103617,,,
19599,0.5488776067150025,0.6798616958417489,34,0.8172162545961937,,,
20159,0.5553304648456184,0.6862605797493335,35,0.8184992442647199,,,
20719,0.5445117754411816,0.6757745022611367,36,0.8147686039627269,,,
21279,0.5482859344237833,0.6798406347059291,37,0.8108593257899855,,,
21839,0.550272102705045,0.6820555166929018,38,0.8138261702388873,,,
22399,,,39,,0.456746895431778,0.5967260345859288,0.7316143548047102
22399,0.5584764326164242,0.6898013230177144,39,0.8181627736867907,,,
