train_OA,train_mIoU,epoch,step,train_F1,val_mIoU,val_F1,val_OA
0.6626745185742746,0.258003851349102,0,348,0.4538116095074347,,,
0.7009666246124528,0.2811109649208271,1,697,0.47984594396702374,,,
0.7285464049068767,0.29895206555789355,2,1046,0.49891362685220014,,,
0.743599069152657,0.4122123213052608,3,1395,0.7641314198694771,,,
,,4,1744,,0.4659971821770368,0.5478153147302158,0.7990888841081362
0.7588725049037987,0.426174912918484,4,1744,0.520018978266874,,,
0.7686909235650966,0.33400896506301125,5,2093,0.5470435167737536,,,
0.7734518187777017,0.45698091022811926,6,2442,0.5644340736419299,,,
0.7752933228938148,0.4782650050103892,7,2791,0.600021732892444,,,
0.7853756661401435,0.4951988468700656,8,3140,0.6189097243159489,,,
,,9,3489,,0.6448219318913854,0.7695839793657671,0.8494510461788353
0.7868838378556477,0.5217031701191429,9,3489,0.6569768701390294,,,
0.7880179287710981,0.5307532149173386,10,3838,0.6689561425356448,,,
0.8004622145163636,0.557149330573654,11,4187,0.6957659042900546,,,
0.7959915642068857,0.5416745906924026,12,4536,0.6785692685350785,,,
0.8038899987338264,0.4204211905455444,13,4885,0.6982539556602174,,,
,,14,5234,,0.6035394949913119,0.7319609540943629,0.8254105973951874
0.814909096092071,0.5745672425163745,14,5234,0.7095802466976074,,,
0.8128462520916344,0.5719556800495572,15,5583,0.7074819637092347,,,
0.8196694010649846,0.5810656081591975,16,5932,0.7148663275918844,,,
0.8179852504784875,0.581268383684668,17,6281,0.716018814746656,,,
0.8223695290464383,0.590640747868799,18,6630,0.7248486299456052,,,
,,19,6979,,0.7007402063135716,0.8160671097026797,0.8798181514928823
0.8248027812444035,0.5908371059764135,19,6979,0.7238440745796554,,,
0.8252202555921493,0.5917135633179613,20,7328,0.7246464363819114,,,
0.829524873662473,0.5967080648529773,21,7677,0.728359292594614,,,
0.827762264918461,0.5999899193113792,22,8026,0.7329266440610152,,,
0.8304226719547478,0.602573869703875,23,8375,0.734569509038231,,,
,,24,8724,,0.7097243780381136,0.8224768176823324,0.8829670518931763
0.8331166133498051,0.6077864262210824,24,8724,0.7393442576091148,,,
0.8331572743063327,0.6030616731670768,25,9073,0.7339417505475857,,,
0.8366110727916815,0.6149265376765366,26,9422,0.7457421713899919,,,
0.8349787758551216,0.6134573227820109,27,9771,0.7448500193363912,,,
0.8387612941271936,0.6184383485452544,28,10120,0.7485580577215868,,,
,,29,10469,,0.6181964353291806,0.7396765945171885,0.852328007764154
0.8387579057141497,0.46545405905440607,29,10469,0.750987312644718,,,
0.8367985941277533,0.6134982145344313,30,10818,0.7439729491896397,,,
0.8415875366560708,0.47031767236263544,31,11167,0.7566955068926365,,,
0.8400347690527622,0.6256070285645515,32,11516,0.7558417801902095,,,
0.8422104799986567,0.6214866413795603,33,11865,0.7503114522047004,,,
,,34,12214,,0.7155322779619944,0.8263175727236235,0.8884993449296088
0.8399935178565431,0.6243532251039497,34,12214,0.7544525408594328,,,
0.8465931627333675,0.6388542624928849,35,12563,0.767037462465515,,,
0.839950670827084,0.6179246254746019,36,12912,0.7473714621380569,,,
0.8437881032511975,0.6312923357600039,37,13261,0.7603162455858098,,,
0.8429030934855725,0.6285103664620659,38,13610,0.7577482560943866,,,
,,39,13959,,0.5191648697959408,0.8075672508722777,0.8763154284788817
0.8447676169496551,0.6318309044983139,39,13959,0.7603598496253787,,,
0.8461422414697684,0.6381066429848846,40,14308,0.7664543130384338,,,
0.8467599163765892,0.6377460283464379,41,14657,0.7657485817664108,,,
0.8500948362159181,0.6475785949415385,42,15006,0.7746070993871804,,,
0.8478481434819348,0.6409114248307989,43,15355,0.7685634066657016,,,
,,44,15704,,0.6085650152934243,0.7325794683912686,0.8405698266359826
0.8466288613043403,0.6341881659249248,44,15704,0.7621451085585388,,,
0.8471991640107337,0.6416071951566823,45,16053,0.7697641345978617,,,
0.8489952415313282,0.6398380494775469,46,16402,0.7671060138220068,,,
0.8508107969617432,0.6475126971328611,47,16751,0.7742875640100948,,,
0.8503699316336294,0.6498732696589945,48,17100,0.776882228987993,,,
,,49,17449,,0.7579751554336501,0.8589562300409496,0.8983421703376379
0.8520364843330273,0.6503523036561452,49,17449,0.7766981933447372,,,
0.8546311998777197,0.6635363734600024,50,17798,0.7887999794077928,,,
0.8505833142124819,0.6425625612501391,51,18147,0.7692575258027611,,,
0.854078516919155,0.6544775940561997,52,18496,0.780084032600176,,,
0.8569713472295284,0.6619878181982993,53,18845,0.7864500234874864,,,
,,54,19194,,0.7598971411966614,0.8608314445982682,0.8968975709216416
0.8548735916443744,0.6578547545307002,54,19194,0.7830850153440411,,,
0.8582600153619716,0.6655219208787596,55,19543,0.7894573673176272,,,
0.8572566297471009,0.6650255065259292,56,19892,0.7892877849353995,,,
0.8598272547680873,0.6679373542394286,57,20241,0.7911610781040302,,,
0.8573347381329467,0.6630408095234368,58,20590,0.7873768329920424,,,
,,59,20939,,0.7665869128276138,0.8654742870216315,0.8997709066560939
0.8592766267180783,0.6740250259554185,59,20939,0.7972410276057585,,,
0.8569482841601002,0.6638180375621642,60,21288,0.7883046932954803,,,
0.8597514198980903,0.6706109748808552,61,21637,0.7937858779449614,,,
0.8604164451446095,0.6745826290449805,62,21986,0.7973333773745229,,,
0.8605030136327004,0.6720972078164683,63,22335,0.7950048450388284,,,
,,64,22684,,0.7441413335509263,0.84946877820953,0.8925538015837703
0.8577872989512445,0.6645835498119571,64,22684,0.7887011084185724,,,
0.8578215109926238,0.6614008028731587,65,23033,0.7854913072601751,,,
0.8638526457428589,0.6831774400361649,66,23382,0.8042799639682717,,,
0.8608826251972711,0.67531456770336,67,23731,0.7979236957599373,,,
0.8585428276171314,0.6602774925847926,68,24080,0.7841222372152207,,,
,,69,24429,,0.7283904453581499,0.83643823867738,0.8919933054706825
0.8621382617677179,0.6750030015393366,69,24429,0.7972128784141854,,,
0.8626457367380572,0.680274482923155,70,24778,0.8019188129440934,,,
0.8641480060566461,0.6787951387362989,71,25127,0.8000646394540012,,,
0.8638446447159293,0.6866258119537395,72,25476,0.807425702535684,,,
0.8619239828989634,0.676039629333466,73,25825,0.7982192456249878,,,
,,74,26174,,0.749472542678229,0.8528843576738522,0.896158652730506
0.8608148350756625,0.6682248341878377,74,26174,0.791126998463036,,,
0.8658342334124283,0.6896305643714272,75,26523,0.8095519673476455,,,
0.866868836148762,0.6917520747409652,76,26872,0.8111188775368129,,,
0.8659079915131401,0.6880128255036101,77,27221,0.8080584060857747,,,
0.8684397918788613,0.6962597993790052,78,27570,0.8147270259991085,,,
,,79,27919,,0.7313165630267262,0.8390712137658328,0.8919127813660258
0.8664599967890959,0.685255232372764,79,27919,0.8053278902762401,,,
0.8659794979587324,0.6882643641662002,80,28268,0.8082903612227575,,,
0.8679750983557932,0.6922237509276568,81,28617,0.8112519781872795,,,
0.8653339069005752,0.6841668923633232,82,28966,0.8047265377652105,,,
0.8641274788318184,0.6772142005248886,83,29315,0.7985899369188799,,,
,,84,29664,,0.7594990124109535,0.8598153381418082,0.9005176808574398
0.8681519953774175,0.6949028447166404,84,29664,0.8136133994419112,,,
0.8650755349407905,0.6801252503049505,85,30013,0.8010341445897934,,,
0.8645188077473024,0.6818834133350674,86,30362,0.8028572759355738,,,
0.8684150018118171,0.6928475745887205,87,30711,0.8116852555870505,,,
0.8701390482293158,0.7007898339638335,88,31060,0.8182457193577504,,,
,,89,31409,,0.7576415637041056,0.8586186769304125,0.898984852403696
0.866857556012435,0.6872835244690729,89,31409,0.8070624735128694,,,
0.8658955090367007,0.687375585394121,90,31758,0.8074790080377533,,,
0.8650140844306835,0.6810273486089935,91,32107,0.8018615361226633,,,
0.8671501837350576,0.6920427868761317,92,32456,0.8113077856376975,,,
0.8680056815161061,0.6933322460406458,93,32805,0.8122328187351039,,,
,,94,33154,,0.7431312188222404,0.8478079646599479,0.8966757897103173
0.8655158974721301,0.6853134349159742,94,33154,0.805702351964598,,,
0.8652321233448803,0.6827264354277168,95,33503,0.8033493964734748,,,
0.8688316673125782,0.6919704625568809,96,33852,0.8107499262885566,,,
0.8688660323790628,0.7019726514584952,97,34201,0.8195773553844884,,,
0.8677302581874551,0.6908054356267037,98,34550,0.8100097577123879,,,
,,99,34899,,0.7517250333235749,0.8550775139965664,0.8958244701423254
0.8704165264665226,0.7018135261165623,99,34899,0.8190856479186284,,,
