epoch,train_F1,train_OA,step,train_mIoU,val_OA,val_F1,val_mIoU
0,0.4380924457845567,0.6386649670095361,348,0.24500500423201105,,,
1,0.7080555390845459,0.690948420745937,697,0.27410882252972946,,,
2,0.48287937089115346,0.7063056268118171,1046,0.28394188075649396,,,
3,0.5001647818203773,0.7304648587901816,1395,0.30015434990769974,,,
4,,,1744,,0.7634371011564035,0.6700536840455449,0.5302638710161848
4,0.5082564517432617,0.7396166563717205,1744,0.3068814597050597,,,
5,0.6164109156964391,0.7571086938196744,2093,0.4802032517523566,,,
6,0.6269032479718698,0.765678777394117,2442,0.4909667642449922,,,
7,0.6473269656659825,0.7699321757756535,2791,0.38053694348947886,,,
8,0.6641424922912942,0.7861520718025272,3140,0.5268236574317172,,,
9,,,3489,,0.8359296439897883,0.7498977856239222,0.6221361113599725
9,0.6814869319121497,0.7904965201216645,3489,0.5420119412227964,,,
10,0.6785981645612437,0.7905144021982449,3838,0.5394960148545874,,,
11,0.7120463603234451,0.8043516098940611,4187,0.5725660545495163,,,
12,0.6964434443077147,0.8013874261632006,4536,0.5583461405659177,,,
13,0.7173957221711275,0.8092458555554932,4885,0.579023976432614,,,
14,,,5234,,0.8330552507154999,0.746638904972572,0.6197646957272401
14,0.7317200962863937,0.8220416618281584,5234,0.5967221175160147,,,
15,0.7280207003702781,0.819477879215448,5583,0.5924782208589572,,,
16,0.7299393087463786,0.8206434714418427,5932,0.5945937010793243,,,
17,0.7331834370569728,0.8210120433381087,6281,0.5975990960693189,,,
18,0.7370364296516724,0.8233798445125021,6630,0.602027720421629,,,
19,,,6979,,0.87983205058787,0.8147079252647419,0.699947570566375
19,0.7414993468804308,0.8272581565004363,6979,0.6076189187644019,,,
20,0.740311567365547,0.827954223982584,7328,0.6067976900023869,,,
21,0.7407455653512174,0.8286186589894116,7677,0.6074417499987829,,,
22,0.7465683660593374,0.8309473950405174,8026,0.6138137596793819,,,
23,0.7491928396205899,0.8312044990780018,8375,0.6162946016851364,,,
24,,,8724,,0.8828082698406545,0.8225706245956682,0.7099286511449453
24,0.7496904660377816,0.833809095672345,8724,0.6176436552683245,,,
25,0.7476422199899971,0.8355079585296717,9073,0.6164592695623178,,,
26,0.7570234238672136,0.8369601011959391,9422,0.6256987385305445,,,
27,0.75908862321162,0.8372900670442334,9771,0.6277997966145209,,,
28,0.7615574199254195,0.8396012926511572,10120,0.6310800216268488,,,
29,,,10469,,0.7929104342318986,0.6687631236437978,0.5361739837776892
29,0.7613830206588673,0.8387562224379923,10469,0.6305721800261457,,,
30,0.7579266542996477,0.8388502891562387,10818,0.6273123759683942,,,
31,0.7645049439563926,0.8421874387899578,11167,0.6349116801374312,,,
32,0.7639419048749726,0.8406240468722017,11516,0.6337561817264589,,,
33,0.7611447366594665,0.8425975023504655,11865,0.6318452061371816,,,
34,,,12214,,0.8698508385384424,0.8122493497652429,0.6926590977567423
34,0.7626629320248491,0.839906315407302,12214,0.632272359513533,,,
35,0.7772354261191098,0.8474175526965996,12563,0.6493784334113643,,,
36,0.7573025767048334,0.8393128184671045,12912,0.6269933452784783,,,
37,0.7683393742924257,0.8432179098484508,13261,0.6389421295191587,,,
38,0.7642444720928104,0.8436425326546829,13610,0.6351525326940353,,,
39,,,13959,,0.8859911625928204,0.8267869093406451,0.7152587559633709
39,0.7704375612648063,0.846212523714519,13959,0.6422223457423861,,,
40,0.7741959426897614,0.8468461788144698,14308,0.6461173024955812,,,
41,0.7742441227419578,0.8466571928095338,14657,0.6461403724658105,,,
42,0.7833026945941689,0.8508111030119536,15006,0.6567472993340288,,,
43,0.7742394298322565,0.8473982496726136,15355,0.6464956938254661,,,
44,,,15704,,0.8502225970277678,0.759415921312856,0.636292263767471
44,0.7704507595165859,0.8473632943664374,15704,0.642621723564556,,,
45,0.774789813519955,0.8464536694196028,16053,0.6464696997221134,,,
46,0.7750581402355684,0.8495602976626857,16402,0.6479892579745433,,,
47,0.7826588706051112,0.8514777022309835,16751,0.6562871396917506,,,
48,0.7838402995774018,0.8512297141176238,17100,0.6573837325738795,,,
49,,,17449,,0.898699316647972,0.8571532489382468,0.7558472941081416
49,0.781228132030655,0.8516544243667732,17449,0.6549202842048492,,,
50,0.7931809444580143,0.8542138348336205,17798,0.6681317048074105,,,
51,0.7759920162846181,0.8500943552798732,18147,0.6491209596670552,,,
52,0.785190020860009,0.8534764724337951,18496,0.6595714430879506,,,
53,0.7913549569735031,0.856110253101775,18845,0.6669151229451599,,,
54,,,19194,,0.8977090061301038,0.8557222121142241,0.7536668506496275
54,0.787985532114902,0.855124071880876,19194,0.6630854453125018,,,
55,0.7954022123296253,0.8571983271820155,19543,0.5036415912035728,,,
56,0.7927819584176161,0.8565893528454623,19892,0.6685655626969983,,,
57,0.7948408381648555,0.8586652039798418,20241,0.6715246168224446,,,
58,0.7922902390697453,0.8558812401014616,20590,0.6677692177428883,,,
59,,,20939,,0.8676736661703266,0.839588746172269,0.7264641854474122
59,0.7996472593536704,0.8585785043273749,20939,0.6765323119762012,,,
60,0.7917246247777855,0.8557700127107023,21288,0.6671036556859565,,,
61,0.7996171063132279,0.858861950543685,21637,0.6766219642844472,,,
62,0.8008726818216583,0.8594770021629878,21986,0.6781945501986884,,,
63,0.7974906700540574,0.8589931805017683,22335,0.6743403704812726,,,
64,,,22684,,0.8916335908493179,0.8455371413862537,0.7386168016860507
64,0.7937132514734904,0.8571621476749977,22684,0.6697199851214645,,,
65,0.7902165999779022,0.8579456362136796,23033,0.66643549460027,,,
66,0.8100776014073826,0.8634216614643959,23382,0.6895538065660384,,,
67,0.8023906388727732,0.8603215477186491,23731,0.6800501572712566,,,
68,0.7884134851188165,0.8570987078385228,24080,0.6642480307923291,,,
69,,,24429,,0.8916038286567901,0.8457801214590618,0.554546772333069
69,0.798291634430036,0.8601434920783712,24429,0.5067010758562036,,,
70,0.8074700725780355,0.8632325224343547,24778,0.6866420525550666,,,
71,0.8075814649407717,0.8645231798931656,25127,0.6872030269802649,,,
72,0.8093651941269178,0.8624500394892213,25476,0.6884548882361742,,,
73,0.8042840608821057,0.86180873313401,25825,0.6826543619830944,,,
74,,,26174,,0.8975326991317282,0.8531809775848919,0.750555169850613
74,0.7961587116401021,0.8604071543346502,26174,0.6734541371525505,,,
75,0.8147248280493905,0.8657153766271377,26523,0.6955119223973112,,,
76,0.8158722991245903,0.8673125433716868,26872,0.6973466905231307,,,
77,0.8124157086125695,0.8657831886094756,27221,0.692937780537549,,,
78,0.8205082888230278,0.8681664671802246,27570,0.7029049605233587,,,
79,,,27919,,0.8804387762995036,0.8145189078341576,0.6986541285184353
79,0.8113910598217858,0.8663870038139101,27919,0.6920041924505336,,,
80,0.8144476883869802,0.8661734026277644,28268,0.695327365696086,,,
81,0.8186979217696145,0.8690005195858143,28617,0.525783726154789,,,
82,0.8104438227197455,0.8657132998578526,28966,0.5180165473132978,,,
83,0.80695524710053,0.8657146333623409,29315,0.6868792763882489,,,
84,,,29664,,0.8947234200959144,0.8444289556047372,0.7387660142332629
84,0.8198198041859528,0.8682774103815029,29664,0.7021333548061192,,,
85,0.8108601058806113,0.8666636076219443,30013,0.6914798209589795,,,
86,0.8082430943071582,0.8650438368832825,30362,0.6880351871745535,,,
87,0.8193010602660683,0.8702148612385833,30711,0.526598628548564,,,
88,0.8291916024915956,0.8730421530824676,31060,0.7145428804505957,,,
89,,,31409,,0.8959682955600233,0.8539574754973818,0.7504676760745519
89,0.8183136483735192,0.8700700339068654,31409,0.7009772340962046,,,
90,0.8175481568227595,0.8678773808957511,31758,0.6994051593070657,,,
91,0.8135910049352134,0.8674038119165807,32107,0.6947847713594202,,,
92,0.8230249411347463,0.8697501021333273,32456,0.7063341424089539,,,
93,0.8257691165161064,0.8720710557647966,32805,0.7101923529290403,,,
94,,,33154,,0.8947213050162425,0.8446931559869384,0.7391461486225029
94,0.8192526225121376,0.8692405722544322,33154,0.7017532713104666,,,
95,0.8182632723024126,0.869665042035559,33503,0.700825621891411,,,
96,0.8248511561193942,0.8733052906812432,33852,0.709485272906979,,,
97,0.8330433406591139,0.8735503057354158,34201,0.719352638433507,,,
98,0.8236343433756094,0.872499088844802,34550,0.7078327770146755,,,
99,,,34899,,0.8975135123375605,0.8536261832711659,0.7503783898024173
99,0.8342319204861589,0.8756087338685304,34899,0.7212990671966422,,,
100,0.8250720505633501,0.8704826988941617,35248,0.7089022205440663,,,
101,0.8275711201182135,0.8742632934220539,35597,0.7129811960616164,,,
102,0.8280834121715258,0.8725511611020325,35946,0.7131121093188404,,,
103,0.828309120288921,0.8732708600325706,36295,0.7135270429999871,,,
104,,,36644,,0.8892098606222913,0.8372659003665525,0.7275004997346307
104,0.8231228555889074,0.870913420843873,36644,0.7067895870523796,,,
105,0.8258495006659032,0.872750705839228,36993,0.7105110008553468,,,
106,0.8272289380834202,0.872869803092541,37342,0.7121523478535569,,,
107,0.8321891756785661,0.8760937797305918,37691,0.7190060000012792,,,
108,0.8324451835837791,0.8762316334896578,38040,0.7193753647477736,,,
109,,,38389,,0.8560996480507412,0.8157645791518795,0.6939494147663675
109,0.8218663784513093,0.8731522655760319,38389,0.7059820770442471,,,
110,0.824933237067023,0.8729244330551015,38738,0.7094807462402847,,,
111,0.8303667850653946,0.8756420714807372,39087,0.7166896238459118,,,
112,0.8382258244009382,0.8771650210492589,39436,0.7266458210284396,,,
113,0.8306099638640431,0.8737618301522765,39785,0.7164442261357252,,,
114,,,40134,,0.9009329918587548,0.8683877869846498,0.7709391936553663
