train_F1,train_OA,step,train_mIoU,epoch
0.3747462207125986,0.5577814708808089,348,0.19676609506963771,0
0.6063151570757872,0.592447712633193,697,0.2903039378963645,1
0.6144506173187713,0.599411185628022,1046,0.2957690260685566,2
0.6162345178640072,0.6060760191996664,1395,0.29769382742770734,3
0.49335906846015354,0.4828651668690678,1744,0.2187600178867665,4
0.49879253955991654,0.49357454141436463,2093,0.22294235070477883,5
0.48424974294078327,0.48162269045766914,2442,0.21475158901240823,6
0.49652604419885704,0.4847989232628939,2791,0.22043623554133726,7
0.4844070495496037,0.4718778331505193,3140,0.21310343615038232,8
0.4787254992434826,0.4727312760230121,3489,0.2109966603531448,9
0.4832602869907144,0.47346599327459027,3838,0.2129891212048657,10
0.4605976100947843,0.4676300092549583,4187,0.20300020972931296,11
