train_F1,train_OA,epoch,step,train_mIoU
nan,0.0,0,348,0.0
nan,0.0,1,697,0.0
nan,0.0,2,1046,0.0
nan,0.0,3,1395,0.0
nan,0.0,4,1744,0.0
nan,0.0,5,2093,0.0
nan,0.0,6,2442,0.0
nan,0.0,7,2791,0.0
nan,0.0,8,3140,0.0
nan,0.0,9,3489,0.0
nan,0.0,10,3838,0.0
nan,0.0,11,4187,0.0
nan,0.0,12,4536,0.0
nan,0.0,13,4885,0.0
nan,0.0,14,5234,0.0
nan,0.0,15,5583,0.0
nan,0.0,16,5932,0.0
nan,0.0,17,6281,0.0
nan,0.0,18,6630,0.0
nan,0.0,19,6979,0.0
nan,0.0,20,7328,0.0
nan,0.0,21,7677,0.0
nan,0.0,22,8026,0.0
nan,0.0,23,8375,0.0
nan,0.0,24,8724,0.0
nan,0.0,25,9073,0.0
nan,0.0,26,9422,0.0
nan,0.0,27,9771,0.0
nan,0.0,28,10120,0.0
nan,0.0,29,10469,0.0
nan,0.0,30,10818,0.0
nan,0.0,31,11167,0.0
nan,0.0,32,11516,0.0
nan,0.0,33,11865,0.0
