train_mIoU,step,train_F1,train_OA,epoch
0.15517188094317133,348,0.3099241854971553,0.4784412766595965,0
0.16051641280238926,697,0.6500617406747647,0.48154923840716773,1
0.15967300400465242,1046,0.6477523387095404,0.4790190120139572,2
0.16029540082900548,1395,0.6494573339658523,0.4808862024870164,3
0.1598979363354935,1744,0.6483690153823974,0.4796938090064805,4
0.16006879250891684,2093,0.6488370605849144,0.48020637752675044,5
0.16079830690691785,2442,0.6508318586064891,0.4823949207207534,6
0.16084537305713498,2791,0.650960354937047,0.4825361191714048,7
0.15953530327069157,3140,0.6473745392684163,0.4786059098120746,8
0.16071945525627537,3489,0.6506165291166044,0.48215836576882604,9
0.16055735066148819,3838,0.650173635035285,0.48167205198446444,10
0.1601879116229592,4187,0.649163185009982,0.48056373486887755,11
0.16016045454693842,4536,0.6490880269633525,0.4804813636408152,12
