train_mIoU,epoch,train_F1,train_OA,step,val_OA,val_F1,val_mIoU
0.25129407856420066,0,0.446119623503068,0.6514489029061827,348,,,
0.2778640053556334,1,0.4761997237290771,0.6970102698208608,697,,,
0.28834198246011733,2,0.48770214670638073,0.7131035266428074,1046,,,
0.39417965674573513,3,0.7431370289600625,0.723324248305706,1395,,,
,4,,,1744,0.8106506649810477,0.8295849188286083,0.4754930385888432
0.4169095119518805,4,0.7694676397677885,0.7487858769545239,1744,,,
0.3180311362529363,5,0.7775184881865481,0.7567054726674426,2093,,,
0.4354955899287658,6,0.7901962726205704,0.7692688775267504,2442,,,
0.3325846131955684,7,0.5325401471416865,0.7773880835590525,2791,,,
0.34103704048061073,8,0.810884519894024,0.7889507698124663,3140,,,
,9,,,3489,0.8337621405573161,0.8515145597018754,0.49744875465249355
0.45512020428577266,9,0.8112727282308463,0.7890229539406673,3489,,,
0.34009427653684776,10,0.5396872693848422,0.7881455517088444,3838,,,
0.46059750329933813,11,0.8170405642148132,0.7949218531392706,4187,,,
0.3450565454556021,12,0.5443242960897602,0.7945440560152331,4536,,,
0.462395127998194,13,0.8189468579045761,0.7967731071406584,4885,,,
,14,,,5234,0.7929190456277061,0.8113179829403637,0.45784200087029503
0.47296695534211636,14,0.829859060859824,0.807642174313608,5234,,,
0.4678830878692119,15,0.8246088416446051,0.802459104696454,5583,,,
0.47175704572105087,16,0.8286018514528127,0.8063435158278675,5932,,,
0.4695193770201102,17,0.826331811086154,0.8040429145353911,6281,,,
0.4742057222330003,18,0.8311184156618188,0.8085849838475442,6630,,,
,19,,,6979,0.8388584250270718,0.8565370625053788,0.5023952070466756
0.35757466268797533,19,0.8337500178014279,0.8113350198740261,6979,,,
0.4755232748623593,20,0.8324610219929873,0.8098605792638565,7328,,,
0.4783882512778139,21,0.8353868171006233,0.8130435670344398,7677,,,
0.4782975601820036,22,0.8353239874798748,0.8123724207837123,8026,,,
0.47953931059835386,23,0.836565396705211,0.8136586842359307,8375,,,
,24,,,8724,0.8441370595799801,0.862937989422423,0.507456371826538
0.48146440883353997,24,0.8385176815451494,0.8158428990055291,8724,,,
0.4839936642840956,25,0.8410913890955068,0.8187342209255797,9073,,,
0.48396327951172796,26,0.8410257752887546,0.818688225951099,9422,,,
0.48346658251367874,27,0.8405538261536154,0.8180621565242209,9771,,,
0.48821477116197937,28,0.8453014775799003,0.8223626210559746,10120,,,
,29,,,10469,0.8295650671024121,0.8480538498378072,0.4925688227929741
0.485788665957084,29,0.8428558871875715,0.8202873820220159,10469,,,
0.48662462920804156,30,0.8436827540888341,0.820788473659395,10818,,,
0.48806470265585206,31,0.8451515809621126,0.8220728352281629,11167,,,
0.4876221916203097,32,0.8446970091920427,0.8220277584043135,11516,,,
0.48937714646317215,33,0.8464083995746874,0.8236802983762199,11865,,,
,34,,,12214,0.8517025484897109,0.8664758717956486,0.5127487127028193
0.48584608568910753,34,0.8428997604060282,0.8199264176595518,12214,,,
0.4921574841816205,35,0.8491937474832691,0.8262856163746305,12563,,,
0.48195949455679643,36,0.8390017110109237,0.816159486087482,12912,,,
0.49060907149385374,37,0.8476814486774586,0.8249226873447012,13261,,,
0.48987733877543455,38,0.8469397224200078,0.8242315385266497,13610,,,
,39,,,13959,0.8560096060875606,0.8716991741342008,0.5178290617012969
0.4918926399958761,39,0.8489373484680145,0.8256953111009132,13959,,,
0.49243973114049183,40,0.849492609357192,0.8263875748161599,14308,,,
0.49194166537469547,41,0.8489725069422343,0.825771277135286,14657,,,
0.4947681998612352,42,0.8517831739003047,0.8286063951202653,15006,,,
0.49263488525785765,43,0.8496519272979745,0.8260615001776839,15355,,,
,44,,,15704,0.8167428498220903,0.8323071960388302,0.4782720264512661
0.4945992698425378,44,0.8516294852782446,0.828537096608334,15704,,,
0.4928697435304669,45,0.8499158490905581,0.8273001291007229,16053,,,
0.49454782266006597,46,0.8515749172974381,0.8287246616658643,16402,,,
0.4955760309637041,47,0.8525741503566582,0.8293645470736701,16751,,,
0.4938663437700915,48,0.8508850731366091,0.8280325291149936,17100,,,
,49,,,17449,0.8525148901608898,0.869841981002822,0.5162821480103346
0.49676346733870363,49,0.8537582192662203,0.8306221729704847,17449,,,
0.49679546335101676,50,0.8537702406920451,0.8310113595344958,17798,,,
0.4968181725745824,51,0.8538112473745634,0.8306585055026078,18147,,,
