epoch,train_F1,step,train_OA,train_mIoU,val_OA,val_F1,val_mIoU
0,0.33228525689262417,348,0.4827264386808291,0.16564864813363792,,,
1,0.32627126027334075,697,0.4810232911205564,0.1607705356549225,,,
2,0.328275163242708,1046,0.4815628357808022,0.16146275641522576,,,
3,0.3241957983420881,1395,0.47899732617047586,0.15976118753136445,,,
4,,1744,,,0.32923707867612884,0.25005490947378406,0.11036280585874765
4,0.32525429520556565,1744,0.48102331298128576,0.16047536461084383,,,
5,0.32583630995232005,2093,0.4826740822341175,0.16097626817090263,,,
6,0.32591920316749673,2442,0.48295687262854803,0.161057101683516,,,
7,0.21610663453569237,2791,0.4795867351542912,0.11990466923496343,,,
8,0.3252159201608642,3140,0.4819025077929127,0.16064119115141975,,,
9,,3489,,,0.32798646228148154,0.2470052746456272,0.10933532121687582
9,0.32371396864543583,3489,0.47860118789454237,0.15954209396890529,,,
10,0.3246658161269133,3838,0.4807029658538905,0.16024034191608258,,,
11,0.32557690710124654,4187,0.47915227501986696,0.160192014418342,,,
