train_mIoU,epoch,train_F1,step,train_OA,val_F1,val_mIoU,val_OA
0.19895455500359613,0,0.3816778335176556,348,0.5483309682938976,,,
0.2742137743540194,1,0.5828421468792226,697,0.5678469813655644,,,
0.25804215011605286,2,0.5580438777226445,1046,0.543656269936985,,,
0.2694058035285834,3,0.5756045930857057,1395,0.5608352836018646,,,
0.266095055613595,4,0.5705495803802512,1744,0.5554468324327878,,,
0.26657739559569343,5,0.5712326498606031,2093,0.5564530599424695,,,
0.25667925081279647,6,0.5556693904581058,2442,0.5426013148616582,,,
0.2792996881468942,7,0.5904673174581918,2791,0.5751162422420643,,,
0.26677637999516696,8,0.5715960477593558,3140,0.5566348974889191,,,
,9,,3489,,0.27955831815226356,0.11259276456145366,0.2953027404180843
0.27108738428588725,9,0.5781544343585333,3489,0.5632283776400765,,,
0.2807468793951422,10,0.5926568433241957,3838,0.5769927672465414,,,
0.2685359032235773,11,0.5740827126855155,4187,0.5600783995707601,,,
0.27229655183996665,12,0.5799940570699298,4536,0.5645301622101091,,,
0.2673517090242979,13,0.5724135912140399,4885,0.5578471186509446,,,
0.28042864873371204,14,0.5921542791692325,5234,0.5770244871647787,,,
0.273977787843511,15,0.5823641669422952,5583,0.5680729120030443,,,
0.27285458662815837,16,0.5803298216336095,5932,0.5672451336267683,,,
0.266630468828201,17,0.5713615687289187,6281,0.5567367029053433,,,
0.2815598560933829,18,0.5933455837839672,6630,0.5803836286921896,,,
,19,,6979,,0.7587348747256397,0.40949239279293864,0.7398600058980496
0.29182698861806605,19,0.6084791479022562,6979,0.5947495162657817,,,
0.26918679985380145,20,0.5745500026284256,7328,0.5622811085173598,,,
0.3041005003621673,21,0.6256086307038069,7677,0.61407630286449,,,
0.3058460105306375,22,0.6279544691260246,8026,0.6169515571484934,,,
0.3072016869817155,23,0.6293962952477103,8375,0.6205654854760811,,,
0.3003488313770586,24,0.6195498467332388,8724,0.6110124342079489,,,
0.31260805944105535,25,0.6372084211973046,9073,0.6269592460042084,,,
0.3141204331909865,26,0.6393339183569396,9422,0.6290480168296135,,,
0.31437065316447393,27,0.6398534397653413,9771,0.6291033900569707,,,
0.32060577833322684,28,0.6486504508555473,10120,0.636327639691809,,,
,29,,10469,,0.754047099026091,0.20173237111308787,0.6051971133392626
0.323148459169307,29,0.6520166467131552,10469,0.6400764705800053,,,
0.3260110526914202,30,0.6560301864207116,10818,0.6432726622310955,,,
0.32320691681903185,31,0.6523251103847885,11167,0.6394504448745858,,,
0.3264771536212208,32,0.6562976725276246,11516,0.6457607192774556,,,
0.31863456805646884,33,0.646048148502737,11865,0.6333092850737038,,,
0.3337146059014044,34,0.6666431700568263,12214,0.6529215946580071,,,
0.3383762338739804,35,0.6728740002997234,12563,0.6584352859453347,,,
0.32723406074097844,36,0.6576596766766205,12912,0.6451689930563327,,,
0.33986786933632374,37,0.6748568877358683,13261,0.6604085009555761,,,
0.3249486827994889,38,0.6549231819206374,13610,0.6410411408432574,,,
,39,,13959,,0.39013081415750306,0.20669018047065776,0.6088199426632107
0.34068007787612364,39,0.6758409407364361,13959,0.6619597383078325,,,
0.34083835680513347,40,0.6762726314662814,14308,0.6606822410080698,,,
0.3378138448601895,41,0.6721864166440168,14657,0.6575853845109911,,,
0.3406543193589573,42,0.6760534279489954,15006,0.6607865604083654,,,
0.34097125295508146,43,0.6764654655200583,15355,0.6610058891055918,,,
0.34301013260825086,44,0.6789858298943723,15704,0.6645593287951624,,,
0.3472079154228928,45,0.6845838511668221,16053,0.6692454165920486,,,
0.34921520927293376,46,0.6871463978099939,16402,0.6720226255050702,,,
0.35044634588792145,47,0.6888227820046033,16751,0.6731768720129498,,,
0.3510310567370203,48,0.6895209136122717,17100,0.6741425915912092,,,
,49,,17449,,0.7559165676690289,0.406686472076419,0.7353473323406549
0.3463381924259789,49,0.6835236261506159,17449,0.667520539466836,,,
0.34972023775144806,50,0.6878825268739468,17798,0.6721673872546001,,,
0.3548670755020085,51,0.6944919969508168,18147,0.6788259249362015,,,
0.3583993285342813,52,0.699118483789622,18496,0.6822984362058447,,,
0.3559412339631187,53,0.6960269953414537,18845,0.6788260561005774,,,
0.3564913435375155,54,0.6967258483947492,19194,0.6794962842006737,,,
0.35206759501811485,55,0.6909464458441695,19543,0.6747762029697013,,,
0.36115380631559607,56,0.7025934196244817,19892,0.6857896383990529,,,
0.3593320444759592,57,0.7003281981581788,20241,0.6836158730580676,,,
0.36512607908547734,58,0.7076106989807046,20590,0.6907125434766184,,,
,59,,20939,,0.7184657563821137,0.38129524733890335,0.7314496937364624
0.3574143050723764,59,0.6979101043099603,20939,0.6804786616546717,,,
0.3596754456650739,60,0.7007092189738422,21288,0.6839372476397406,,,
0.3581042242890787,61,0.6987973845348875,21637,0.6814692587428925,,,
0.3598478089979362,62,0.7009508414854206,21986,0.6840603672672478,,,
0.36907585984062813,63,0.7125616938452449,22335,0.6950983085741627,,,
0.36166094297806417,64,0.7033218649516763,22684,0.6856937353795441,,,
0.35463033538164335,65,0.6943668808683493,23033,0.6773852591528249,,,
0.36047854124555573,66,0.7017648232204323,23382,0.6848428283516519,,,
0.3610902503473625,67,0.7025034917912076,23731,0.6858400055193968,,,
0.3636230078168466,68,0.7056989578943285,24080,0.6889649093321878,,,
,69,,24429,,0.797636404181912,0.4447184548508208,0.7783398014484053
0.3591244491886043,69,0.7000639900055685,24429,0.6830206053987955,,,
0.3658103089628862,70,0.7084483056811753,24778,0.6914415113563864,,,
0.3668696723032608,71,0.7098522427470682,25127,0.6921006560667196,,,
0.3622872803171189,72,0.7040407148446968,25476,0.6870791590999394,,,
0.3612143281102524,73,0.7026961067339021,25825,0.6854841347068632,,,
0.3636089712772084,74,0.7056760758846222,26174,0.6887370986719868,,,
0.3684922807006496,75,0.7118621727002673,26523,0.6944976850362082,,,
0.36695558868138917,76,0.7099198825475255,26872,0.6926712211018646,,,
0.3592755233055904,77,0.7003341649788655,27221,0.682808949817559,,,
0.36301266094858775,78,0.704976492994074,27570,0.6880191048783353,,,
,79,,27919,,0.7846261840995332,0.432622095388252,0.7636809396271647
0.36401848515049934,79,0.7062637430228295,27919,0.6889322494025899,,,
0.3674591110353072,80,0.7105680431223318,28268,0.6930456516735873,,,
0.3694079699674151,81,0.7129730596599263,28617,0.6958446338730075,,,
0.37202322690850037,82,0.7162420050124436,28966,0.698497892450808,,,
0.3570649016135905,83,0.6974278034609569,29315,0.6807560743096905,,,
0.36318240634923366,84,0.7052113225416968,29664,0.6878936898742499,,,
0.3660180055089816,85,0.7087711687238778,30013,0.6911652135985628,,,
0.36503751136403056,86,0.7075690370723192,30362,0.6898362342812611,,,
0.3688046298778394,87,0.7122675136276853,30711,0.694553998274926,,,
0.36788904143797696,88,0.7111209996154422,31060,0.6935711617456124,,,
,89,,31409,,0.3881116116343682,0.20582262905892987,0.6079754215655931
0.36783588574202536,89,0.7110068338371769,31409,0.6935786381150384,,,
0.37158834888103226,90,0.7157111367245799,31758,0.6979241138884535,,,
0.37011735804770113,91,0.7138455194387985,32107,0.6965083693364971,,,
0.36871121427205633,92,0.7121192954868123,32456,0.6943315653541368,,,
0.37325546713406393,93,0.7177714598027055,32805,0.7002349460022497,,,
0.36598965749827556,94,0.70869291156531,33154,0.6918982694347129,,,
0.36545174756782756,95,0.7080417401662871,33503,0.6909896282206974,,,
