train_OA,epoch,step,train_mIoU,train_F1,val_F1,val_mIoU,val_OA
0.5113943804984106,0,348,0.17869087706658476,0.3512500574906496,,,
0.5114776917378334,1,697,0.23669989532099867,0.5236789010448322,,,
0.527182723867859,2,1046,0.2471112228266226,0.5406692093979983,,,
0.5478942783650832,3,1395,0.2602346855499704,0.5613176146323584,,,
0.5236852039238784,4,1744,0.24519591971246135,0.537774112080637,,,
0.5332964703141788,5,2093,0.2505073404814566,0.5457734263144169,,,
0.5515436866563507,6,2442,0.2627336106236375,0.5652133376014805,,,
0.56629567843112,7,2791,0.27286616373373124,0.580684560863824,,,
0.5634056462940992,8,3140,0.2713548130270862,0.5785673160328092,,,
,9,3489,,,0.6571701710167659,0.33906985661697187,0.704648461672338
0.5606626494224569,9,3489,0.2693841205737361,0.5755743718685989,,,
0.5884295575598248,10,3838,0.28872807020686725,0.6044147962966991,,,
0.5644294061086922,11,4187,0.2711993297872193,0.5780319693854467,,,
0.5746269553985157,12,4536,0.2791304719949512,0.5902414317735827,,,
0.5859175192934052,13,4885,0.2866161492302013,0.6012888202586351,,,
0.5887445488085377,14,5234,0.28841438165479155,0.6038820643943399,,,
0.5761656446921449,15,5583,0.2799445550760969,0.5914499448944701,,,
0.5790831776266452,16,5932,0.2814834716374232,0.5935270424312251,,,
0.5881312897690387,17,6281,0.28813888171049834,0.6035435209391888,,,
0.5865593940275787,18,6630,0.2871004974432351,0.6019864109892534,,,
,19,6979,,,0.620158744177633,0.3159085888864342,0.691196857112468
0.5933950691988269,19,6979,0.29216072340578353,0.609410473917691,,,
0.5988366638008706,20,7328,0.29570484951677084,0.6144138281569376,,,
0.5962090915800164,21,7677,0.29346474921685095,0.6111827025168628,,,
0.5996461666074385,22,8026,0.2963064653722231,0.6153652346779228,,,
0.599659348627216,23,8375,0.2960880239082771,0.6149914062608668,,,
0.6000023871916412,24,8724,0.2958436242717926,0.6144480927199906,,,
0.6035966408628446,25,9073,0.2983375554297419,0.6180690575314234,,,
0.5838471989235426,26,9422,0.28441356793567957,0.5978072190171441,,,
0.6069981266229404,27,9771,0.30063078539667326,0.6213488047332978,,,
0.6083225370478151,28,10120,0.30190547950427754,0.623140477995251,,,
,29,10469,,,0.754047099026091,0.20173237111308787,0.6051971133392626
0.5987280596976293,29,10469,0.29405181635663347,0.6115256925749677,,,
0.6108399093321879,30,10818,0.30334442118105936,0.625058988449598,,,
0.6086671058632923,31,11167,0.300940445995056,0.6213889816380533,,,
0.6057348606579623,32,11516,0.299485315976663,0.6195637709871502,,,
0.6021578332414599,33,11865,0.2974167154172249,0.616742283665724,,,
0.6106228104293516,34,12214,0.30202483877020186,0.6228844599295211,,,
0.6101398194758461,35,12563,0.30264942383059656,0.6240389299483606,,,
0.6226084580735695,36,12912,0.3121475891147878,0.6375101166416912,,,
0.6175071694447863,37,13261,0.307603579839244,0.6309520538242546,,,
0.6118604118981128,38,13610,0.3026152752613978,0.6236546397707965,,,
,39,13959,,,0.49863520900518865,0.22476435389393049,0.5030448082650054
0.61572329021115,39,13959,0.30687056915616373,0.6300942560965074,,,
0.6136236108818163,40,14308,0.3040653152970576,0.6256330395481636,,,
0.6183115131192357,41,14657,0.3089422090545392,0.6330621978711725,,,
0.6135214119722644,42,15006,0.3040830453454736,0.6257920238816118,,,
0.6171837180938282,43,15355,0.3067562379417979,0.6295391590961255,,,
0.6313271508859016,44,15704,0.3169075729310646,0.6436414051164132,,,
0.6295416976797545,45,16053,0.31594663570793896,0.6424483831112564,,,
0.6320163759597733,46,16402,0.3180279097569385,0.6453623538734078,,,
0.6298664388137423,47,16751,0.3160280020325967,0.642482855296734,,,
0.6350659039778831,48,17100,0.3201031931902376,0.6481706872283144,,,
,49,17449,,,0.6553033039273204,0.33431538746709993,0.6865356747466729
0.6229567869344891,49,17449,0.31190797028386247,0.6370340152951885,,,
0.6287913937281742,50,17798,0.31547538973486183,0.6417851617631352,,,
0.6309958733938484,51,18147,0.3165984599720251,0.6432363473589253,,,
0.6236104664624932,52,18496,0.3122248634283245,0.6374591316377924,,,
0.6285809842085086,53,18845,0.31538719872798154,0.6416849847435908,,,
0.6411751908354225,54,19194,0.32520271569704307,0.6552715595440997,,,
0.6318192796242612,55,19543,0.3163223173415519,0.6424816679977852,,,
0.6301488575757744,56,19892,0.3161958315254828,0.6427210967883055,,,
0.6373751402584392,57,20241,0.32116375886477627,0.6495002148073927,,,
0.6398736030119537,58,20590,0.3239375809661378,0.6535204085144677,,,
,59,20939,,,0.7568693251101019,0.40770693062291413,0.7361820334255094
0.6352069494034294,59,20939,0.32135508720854844,0.6501508030542725,,,
0.6381674168103061,60,21288,0.32202102037105035,0.650624984650586,,,
0.6462400813498946,61,21637,0.3293828411397828,0.6610254377920347,,,
0.6432082823832601,62,21986,0.32525974651512063,0.654900366480815,,,
0.6427155196837503,63,22335,0.32570318456276387,0.6557241418641006,,,
0.6522171982379902,64,22684,0.333398523603094,0.666242935544443,,,
0.6533317456614322,65,23033,0.3340174293646357,0.6670572281289715,,,
0.6530907311207242,66,23382,0.33387093210377006,0.666866229720779,,,
0.6442041260465168,67,23731,0.3267255779345252,0.6571216064214651,,,
0.6564328212792688,68,24080,0.33657847825180776,0.6705038903794955,,,
,69,24429,,,0.37702694309575224,0.20172778216193218,0.6051708259204818
0.6400911172686469,69,24429,0.32402656518523265,0.6535827171218094,,,
0.6536372493536219,70,24778,0.33425615042580126,0.6673469924849864,,,
0.6559392060113157,71,25127,0.3364965694815545,0.6704360575712667,,,
0.647142754584807,72,25476,0.32949125298526183,0.6610397295691046,,,
0.6508671888990866,73,25825,0.332516723174394,0.6650955336838047,,,
0.666298174926408,74,26174,0.3451157953324249,0.6819104769227429,,,
0.6634827753192715,75,26523,0.342563018671103,0.6785494536224089,,,
0.663773523019173,76,26872,0.34255058374915603,0.6784412371729143,,,
0.6593186998777197,77,27221,0.3384705525639225,0.6729078363157011,,,
0.6640972366988829,78,27570,0.34238212448066285,0.6781337214755843,,,
,79,27919,,,0.757336414129109,0.408125007907658,0.7412484046256177
0.6533560110709727,79,27919,0.33461623535744717,0.6679912231679733,,,
0.6682046928515064,80,28268,0.3464389796909558,0.6835960371643941,,,
0.6612885264749171,81,28617,0.34050558200931924,0.6757335375906239,,,
0.6589688189050187,82,28966,0.33891488471960596,0.6736487490449201,,,
0.6655449634978285,83,29315,0.34377121138310535,0.6800155830856197,,,
0.670591053785089,84,29664,0.3479734981141252,0.6855101456887687,,,
0.6679643559934074,85,30013,0.34686042896327524,0.6842643675894746,,,
0.6570027960747223,86,30362,0.3379781337684103,0.6725657415902577,,,
0.6680183519948176,87,30711,0.3465357915416221,0.683781341926065,,,
0.6676081354092047,88,31060,0.3458823818975936,0.6828723677321111,,,
,89,31409,,,0.5454933943836493,0.27373185780436576,0.6561632817334457
0.6682247172795598,89,31409,0.34690784414005527,0.6842772865402864,,,
0.6705589622344532,90,31758,0.3489917701171063,0.6870570883916057,,,
0.6678645836248096,91,32107,0.34643423551152486,0.6836480639194514,,,
0.6792305014536509,92,32456,0.3561283097512957,0.6962315981084104,,,
0.6717017537201714,93,32805,0.3493349220722575,0.6874292276443175,,,
0.6800739321121171,94,33154,0.35640004075653087,0.6965869484986424,,,
0.6867160086645436,95,33503,0.3620096589377984,0.7037310274443044,,,
0.6737198488076982,96,33852,0.3509804144473086,0.6895019017433784,,,
0.6729597949708429,97,34201,0.35097098308026675,0.6896157347443727,,,
0.675582098755932,98,34550,0.35230529974916064,0.6912059197827167,,,
,99,34899,,,0.4675544494372341,0.23722855232332019,0.6298080293258809
0.6718287426967674,99,34899,0.3502739127306554,0.6887390854727449,,,
0.6817425615807999,100,35248,0.35763391172387954,0.6980675723570224,,,
0.6782231371860449,101,35597,0.3547507719162035,0.6943862630008684,,,
0.6768600769917397,102,35946,0.35368451932419315,0.6930553707556172,,,
0.677100020356711,103,36295,0.3542738425153911,0.6938701185051173,,,
0.6812997943692356,104,36644,0.3578418488041902,0.6984800070509192,,,
0.6849507329115552,105,36993,0.36038946905443225,0.7016146076189536,,,
0.6784494394559231,106,37342,0.3546311294501339,0.6942118273655289,,,
0.679411049217071,107,37691,0.3558055292588187,0.6957719989577769,,,
0.6915172150620074,108,38040,0.36577898069956033,0.7084115697611714,,,
,109,38389,,,0.5581634349002969,0.27968746388358057,0.6544542973584457
0.6808742752731016,109,38389,0.35688048856266513,0.697159034858314,,,
0.6862696344326422,110,38738,0.3616490957514382,0.7032297884377438,,,
0.670862673346839,111,39087,0.34889957705344016,0.6868808843096617,,,
0.685963059564716,112,39436,0.3615114257863124,0.7031260290714982,,,
0.6881458971083676,113,39785,0.3630139163614154,0.7049396386195416,,,
0.6939891170294031,114,40134,0.3678530651195058,0.7110064226500921,,,
0.6869108752056656,115,40483,0.36239951038921175,0.7042240841190845,,,
0.6911198744459616,116,40832,0.36551882105906536,0.7081097647650464,,,
0.6890971448838197,117,41181,0.3632057888824143,0.7051178583544302,,,
0.6898478641892571,118,41530,0.364616365386708,0.7070009404796159,,,
,119,41879,,,0.6392511179865725,0.31323278910007707,0.6174598920463326
0.6896070682558425,119,41879,0.36435212017972507,0.7066582114559898,,,
0.6880760083567447,120,42228,0.36280563406825195,0.7046658738281701,,,
0.6945525336060618,121,42577,0.36860982574134143,0.7119969473850545,,,
0.6865262356733524,122,42926,0.36184555129083185,0.7035149669090649,,,
0.6882320065211429,123,43275,0.36290346839356963,0.7047729638668324,,,
0.6866952409716935,124,43624,0.3620357545148321,0.7037365032938929,,,
0.6895724189998768,125,43973,0.36436004866283583,0.7066633955120186,,,
0.6948891451160681,126,44322,0.36896002094370434,0.7124294004507448,,,
0.6774653131435797,127,44671,0.35448600352313814,0.6940693987943971,,,
0.6866103120383013,128,45020,0.361830894569493,0.7034555353191604,,,
,129,45369,,,0.7683422823965702,0.4205107596731888,0.7687204191000143
0.6920776804402086,129,45369,0.36648288652132893,0.7093298756465252,,,
0.6859159496930403,130,45718,0.36179864756235575,0.7034951983067796,,,
0.6893819683260767,131,46067,0.36451583185512754,0.7068967833975134,,,
0.6824773225538368,132,46416,0.3586516446129074,0.6994531993374873,,,
0.683163880618732,133,46765,0.35879934171506606,0.6996132051043704,,,
0.693737215845496,134,47114,0.36796552487278933,0.7111983822805974,,,
0.6897100104301911,135,47463,0.3645832178762509,0.7069480675158015,,,
0.6941949576566416,136,47812,0.3682480024026688,0.7115633014710395,,,
0.6906168590644026,137,48161,0.36516935958812907,0.7076843300901035,,,
0.6989043708517079,138,48510,0.3721588642689538,0.7164317165884143,,,
,139,48859,,,0.664587505265105,0.3429684136430747,0.7050240393912427
0.6952721450936827,139,48859,0.3689457613074001,0.7124081318062304,,,
0.6921838142810373,140,49208,0.36676153223376345,0.7097093423281682,,,
0.6930377162288457,141,49557,0.3671882490977157,0.7102099963788259,,,
0.697124251663514,142,49906,0.3707269015181465,0.7146270764171345,,,
0.6895725283035233,143,50255,0.3644519576040564,0.7067898075924528,,,
0.6935161382899242,144,50604,0.3676830870828947,0.7108335640284775,,,
0.6982210700354807,145,50953,0.3718460865022326,0.7160495932097319,,,
0.6932705111353308,146,51302,0.3674718902463348,0.7105593359639011,,,
0.7002366511391362,147,51651,0.37324819818688404,0.7177232024745968,,,
0.6956613097969644,148,52000,0.36931306714130613,0.7128385550031617,,,
,149,52349,,,0.778879376640599,0.4272525875134075,0.7644686557278763
0.6877166179667912,149,52349,0.3629190483815143,0.7048493448866289,,,
0.6965893196171538,150,52698,0.36998610650461244,0.7136982061689405,,,
0.7003329913732315,151,53047,0.37299909968752337,0.717386444110002,,,
0.6941959851109195,152,53396,0.36852635181096405,0.7119313129849593,,,
0.6974536491328459,153,53745,0.3710705683436853,0.7150770127347048,,,
0.6948315420943207,154,54094,0.3690746519659618,0.712595888238598,,,
0.6925142829261057,155,54443,0.36646413457814137,0.7092652811080886,,,
0.6998822231347376,156,54792,0.37318760647877386,0.7176754457658834,,,
0.6984035852645392,157,55141,0.37175520402088297,0.7158713076008412,,,
0.6977977588730075,158,55490,0.3712742886846853,0.7152942696969271,,,
,159,55839,,,0.6719067043816964,0.3481730691608445,0.7137343907120193
0.6993148279053433,159,55839,0.3724787174862186,0.7167683466562728,,,
0.69520608196969,160,56188,0.36913896705284605,0.7126432141510369,,,
0.6999457285534002,161,56537,0.3733866277415719,0.7179481228921211,,,
0.6941932087982964,162,56886,0.36831609808855975,0.7116047717262117,,,
0.7042686440541613,163,57235,0.3764550429913447,0.7216476124142943,,,
0.6997765702299538,164,57584,0.37293671641641524,0.7173641174528333,,,
0.7004988050050925,165,57933,0.3733206775498723,0.717824376312313,,,
0.6961862952114858,166,58282,0.37012181529777705,0.7139124133264722,,,
0.6996967567072214,167,58631,0.37274187089673355,0.7171037190934371,,,
0.6980107042372738,168,58980,0.37141358342338693,0.7154674396043743,,,
,169,59329,,,0.7116432335486989,0.3754232483187058,0.7317300928701257
0.7010110237536935,169,59329,0.37453021917456875,0.7193715206192806,,,
0.697715365784216,170,59678,0.37122793723904185,0.7152189801518578,,,
0.6981114384779614,171,60027,0.37161657097443995,0.7157557856878027,,,
0.7057034511620813,172,60376,0.3777854549891633,0.7233041949800868,,,
0.6983873646033868,173,60725,0.37193077052069645,0.716149074696742,,,
0.703085913015983,174,61074,0.3755908633695156,0.7206219112584895,,,
0.7017435549323401,175,61423,0.37471206611977154,0.7195559734349893,,,
0.6988773509902735,176,61772,0.37223530159480744,0.7164873970045348,,,
0.6998802119476405,177,62121,0.3730151502550095,0.7174840977833291,,,
0.7005742682426911,178,62470,0.37385107878635315,0.7185063436282944,,,
,179,62819,,,0.6464654716102978,0.3276628641178698,0.6747812705464872
0.7021942138671874,179,62819,0.37503361071209246,0.7199411411129575,,,
0.7015193294317469,180,63168,0.37434525091778575,0.7190834910332595,,,
0.6984273697380349,181,63517,0.37189345319866446,0.7160834771626952,,,
0.6968504241681029,182,63866,0.37024105982124556,0.713974991263749,,,
0.6982370720893399,183,64215,0.371557115702402,0.7156760211881288,,,
0.7057957253005237,184,64564,0.37824948148710097,0.7239050110565923,,,
0.7064901750887019,185,64913,0.37867533982974466,0.7244256651324723,,,
