train_OA,train_F1,train_mIoU,epoch,step,val_F1,val_mIoU,val_OA
0.5087994026249664,0.33782643382253913,0.17178844808074806,0,348,,,
0.5088470152934164,0.5200973572573336,0.234713886224006,1,697,,,
0.5333772675697304,0.5469550541166421,0.25107973886626334,2,1046,,,
0.554030650666245,0.5677798414292604,0.26440527253429763,3,1395,,,
0.5383443531812432,0.5528878512597639,0.25471713944790086,4,1744,,,
0.5479694136917419,0.5616128800354281,0.2604879677603164,5,2093,,,
0.5517769624988806,0.565279228298248,0.26282479109740126,6,2442,,,
0.5593891089147004,0.5739690005508566,0.2684116830826232,7,2791,,,
0.5662776214687051,0.5814165143747463,0.2732422166475472,8,3140,,,
,,,9,3489,0.7540483764705882,0.20173291970319915,0.6051971133392626
0.5849937941761617,0.6003712043518569,0.2859890901449424,9,3489,,,
0.5788280847762579,0.5943476370094948,0.28190557566747726,10,3838,,,
0.5809834433831593,0.5953988697948662,0.28274483796439503,11,4187,,,
0.5874986402626364,0.6035140936061147,0.2881154702878106,12,4536,,,
0.5851831299527668,0.6003081662928476,0.28598066299919367,13,4885,,,
0.593299647115363,0.6086163838973417,0.29166375646267084,14,5234,,,
0.5847934624527108,0.6002289332482607,0.28588958885033905,15,5583,,,
0.5959519875425321,0.611345576183788,0.2935749029090335,16,5932,,,
0.5908955352695759,0.6061018617497241,0.28992338052921757,17,6281,,,
0.5926485252926889,0.6076983787383967,0.29107958612585466,18,6630,,,
,,,19,6979,0.4379314984971828,0.19007587278291263,0.44367452187113177
0.5889779995369022,0.604591289962457,0.28887756999469316,19,6979,,,
0.5997258708265244,0.6144720397707086,0.2958638457492652,20,7328,,,
0.6052809226137177,0.6206080076834652,0.3000148608181204,21,7677,,,
0.6083390637591779,0.6242603851661308,0.3025399877066641,22,8026,,,
0.5942163112170374,0.6091431464785733,0.29208074803001366,23,8375,,,
0.6010080244616314,0.6157891642475681,0.29676218365874624,24,8724,,,
0.6091284328340458,0.6235227937652406,0.3022270099666791,25,9073,,,
0.5992470334115888,0.6133063933000282,0.29510629352754647,26,9422,,,
0.6099034831312119,0.6250979953438478,0.3031891352231257,27,9771,,,
0.609304280540663,0.6242736154677573,0.30269185346630706,28,10120,,,
,,,29,10469,0.47385770139274075,0.20927420115694487,0.4739982680519021
0.6007435970798262,0.6134833364901289,0.29547669549534245,29,10469,,,
0.6116016683059298,0.6261731836262107,0.30409447861682515,30,10818,,,
0.6206465450603845,0.6339149158651121,0.309802256948023,31,11167,,,
0.6057880478123879,0.6192881217655828,0.2993610526456607,32,11516,,,
0.6172837527911779,0.6310424772952496,0.30768081794517016,33,11865,,,
0.6112341457246708,0.623168298915735,0.302308264496007,34,12214,,,
0.6173532480496731,0.6307485872654062,0.307519806168093,35,12563,,,
0.6249393801976069,0.6393966483738649,0.31360783043165236,36,12912,,,
0.6303807343316282,0.6446008987902077,0.31736264435608924,37,13261,,,
0.6106663788628782,0.6223103121433247,0.3017445648115438,38,13610,,,
,,,39,13959,0.3796512002408046,0.20119692074445872,0.5987678754447701
0.6215281882736948,0.6356194560623192,0.31089679914796403,39,13959,,,
0.6159555385994022,0.6286142083767035,0.30609643796156183,40,14308,,,
0.6176579210341488,0.6313699994139114,0.3078929827949772,41,14657,,,
0.616159870836318,0.6282795793238568,0.305908329267537,42,15006,,,
