step,train_F1,train_mIoU,epoch,train_OA,val_mIoU,val_F1,val_OA
348,0.6794833361547611,0.3431384128992468,0,0.6629484772340615,,,
697,0.7052693882736834,0.2724679150693742,1,0.6884782676368866,,,
1046,0.7141842187754843,0.27773305410114807,2,0.6956277317167352,,,
1395,0.7387703565930058,0.39051286854485817,3,0.7199186527284988,,,
1744,,,4,,0.13390451212969154,0.328929932327882,0.3301571383334617
1744,0.7574042361923037,0.4063562666440064,4,0.7374981330937163,,,
2093,0.764977577801498,0.4129386142480413,5,0.7445623621899623,,,
2442,0.7692395508841372,0.4166841736834416,6,0.7486661676007901,,,
2791,0.782488019402976,0.32136235567788046,7,0.7615498758660345,,,
3140,0.779465082791869,0.42578068700866983,8,0.7583886832425791,,,
3489,,,9,,0.1406693365282077,0.33551935995224863,0.3583564380607977
3489,0.7874889513168792,0.433017414983284,9,0.7664041601142773,,,
3838,0.7849835850655769,0.43073653697997766,10,0.7638013998211965,,,
4187,0.7855111732163853,0.4312389542458499,11,0.764435513996463,,,
4536,0.7883435010797726,0.43379520408807853,12,0.7672111707977032,,,
4885,0.7883494856882072,0.4338054274256217,13,0.7671589236546381,,,
5234,,,14,,0.4694443197664926,0.823207459392276,0.8057862838896181
5234,0.7942277915338114,0.43918971220926406,14,0.7727916903345495,,,
5583,0.5290906646777636,0.4386230997872576,15,0.772331959197036,,,
5932,0.532967144846288,0.4429494531880662,16,0.7763403643851292,,,
6281,0.5295444351840232,0.43731369188992614,17,0.7695408249994402,,,
6630,0.5341391567046821,0.44488435455912595,18,0.7784464270474233,,,
6979,,,19,,0.1529663231110504,0.23921429685685316,0.3893786137646962
6979,0.5294471230635693,0.438276324260225,19,0.7712898363698176,,,
7328,0.5408576960886565,0.3398634125725399,20,0.7862736393182529,,,
7677,0.5333648172266839,0.33274264400740233,21,0.776714379602995,,,
8026,0.5371882985076718,0.4480684598916433,22,0.7813871104942692,,,
8375,0.5360954357088891,0.3358036219650211,23,0.7812886716301597,,,
8724,,,24,,0.11324860502932972,0.23958642559206209,0.37522389629099573
8724,0.5393903282581713,0.452159722892842,24,0.7856547402105905,,,
9073,0.5324913885131992,0.4427062844296333,25,0.7761438364285793,,,
