train_mIoU,train_OA,epoch,step,train_F1,val_mIoU,val_F1,val_OA
0.26052972264190766,0.6645530110443901,0,348,0.4571659541339632,,,
0.27021776693237604,0.6850772190913771,1,697,0.7014398262075388,,,
0.37453986272646184,0.7005595778325908,2,1046,0.7194185096644743,,,
0.3936923987448169,0.7238887141973719,3,1395,0.7425316899403506,,,
,,4,1744,,0.1288899384623783,0.3203887444678714,0.319546236850247
0.4005898487409774,0.731269967590157,4,1744,0.7506846906803051,,,
0.41253027150315646,0.7442506937721054,5,2093,0.7645133722874741,,,
0.41589606273335616,0.7478539540637871,6,2442,0.7683477532975458,,,
0.4286749779598404,0.7617455293934119,7,2791,0.7826976981813439,,,
0.4251416103122854,0.7577009446983008,8,3140,0.7787499925700593,,,
,,9,3489,,0.1324478310709438,0.3105668949162731,0.3573883358794858
0.43238966573299137,0.7657903764172747,9,3489,0.7868072122677248,,,
0.4275385329228772,0.7604185612632073,10,3838,0.7814418495090907,,,
0.4306880538872558,0.7639039266416882,11,4187,0.7849200185928502,,,
0.4313981619170222,0.7647086638092652,12,4536,0.7857137252089328,,,
0.431516296618154,0.7648136827528987,13,4885,0.7858490296656444,,,
,,14,5234,,0.4433013249342159,0.796146394448864,0.7757275269763293
0.4383948114941119,0.7719860131556119,14,5234,0.7933815373641562,,,
0.43808703997273213,0.771767624469746,15,5583,0.7930417708914128,,,
0.44091340526369677,0.7748316898728509,16,5932,0.7961217733431099,,,
0.43561245934775655,0.7688623772651212,17,6281,0.7903316449919726,,,
0.44238326545122225,0.7762673714099435,18,6630,0.7976870441879558,,,
,,19,6979,,0.12406483873105312,0.29118973721328645,0.3410872657700335
0.436140457619065,0.7695583573043516,19,6979,0.7909133854023502,,,
0.448793771503089,0.7827968214849345,20,7328,0.8045798439234438,,,
0.44157428639320156,0.7750598721654502,21,7677,0.7968243867231111,,,
0.4442603693996565,0.7784670854366268,22,8026,0.7997438005280042,,,
0.444790852266235,0.7785815919367836,23,8375,0.8003023553850217,,,
,,24,8724,,0.17219230432322355,0.4054947844545955,0.40781712295985395
0.44961901947480126,0.7834782422784405,24,8724,0.8054869215387259,,,
