train_OA,epoch,step,train_F1,train_mIoU,val_mIoU,val_F1,val_OA
0.6313925581880148,0,348,0.43251014810984384,0.2399679968944565,,,
0.7264168856820267,1,697,0.7463267859485554,0.39692188079569535,,,
0.756834910045722,2,1046,0.7777971779816777,0.42431567041310775,,,
0.7761129690787852,3,1395,0.7977168231793031,0.442449107793373,,,
,4,1744,,,0.4871865092550012,0.8413794762329716,0.8241583191522265
0.7759901117800299,4,1744,0.7975073921115438,0.44223991649811706,,,
0.780178365188205,5,2093,0.8017589219824606,0.44615992988611824,,,
0.784612551801184,6,2442,0.8060344349566549,0.45013986449141424,,,
0.7889583773462683,7,2791,0.8107908008169371,0.4546542237171743,,,
0.7931142331535972,8,3140,0.8151999094229907,0.45880503150425245,,,
,9,3489,,,0.48603929189551254,0.8400151132436626,0.8226434688756948
0.7938153941856755,9,3489,0.8162574813382693,0.4598364914790725,,,
0.7937563264950639,10,3838,0.8153257787194192,0.45892669440165407,,,
0.7924131814251655,11,4187,0.8146108122094077,0.45826211968720115,,,
0.7959690695164195,12,4536,0.818057019711155,0.46154366922504203,,,
0.7953468038564424,13,4885,0.8176064807961468,0.46109123218497033,,,
,14,5234,,,0.4811285958456171,0.8352172298337017,0.8170513492999678
0.797752402231823,14,5234,0.8198117719312394,0.46321354059410164,,,
0.8014630205651749,15,5583,0.8238342582996039,0.46710068659492987,,,
0.8015496983569125,16,5932,0.8238491204095135,0.46711766766166485,,,
0.7974649336413188,17,6281,0.8197405698545305,0.4631584962130077,,,
0.8034968772385386,18,6630,0.8260341722663469,0.46923850091377267,,,
,19,6979,,,0.3592889970663713,0.5557151153925993,0.8143420833172171
0.801794429221604,19,6979,0.8240684713577557,0.46731579005656315,,,
0.8037674693460108,20,7328,0.8263665645685485,0.3521693930336026,,,
0.80496231122823,21,7677,0.8273019642126328,0.4704639579847037,,,
0.8030682539188416,22,8026,0.8259139261705276,0.46910595965734886,,,
0.8052799476251902,23,8375,0.8281032540972983,0.4712200790174368,,,
,24,8724,,,0.3786429534402283,0.7106420100888478,0.7378336084951257
0.8070354734929037,24,8724,0.8295906244003648,0.4726739544377106,,,
0.8055610766041926,25,9073,0.8276671129641175,0.47078105970226636,,,
0.8088312886847465,26,9422,0.8310838075964307,0.4741447293063397,,,
0.809252064002619,27,9771,0.8316341390337193,0.4746547479958761,,,
0.8120581727997962,28,10120,0.8348860120324488,0.47787645577019805,,,
,29,10469,,,0.45581553844332845,0.8095265187432936,0.7920124318340025
0.81199989209544,29,10469,0.8345349743619748,0.4775254047431303,,,
0.8118798548307663,30,10818,0.8346630859813449,0.47765789840279765,,,
0.8090318608762199,31,11167,0.8318860190663626,0.4749207835366178,,,
0.811950552429374,32,11516,0.8345125428280955,0.47749729652516715,,,
0.8138576387334346,33,11865,0.5576669068853404,0.35960865891241334,,,
,34,12214,,,0.4849518927957203,0.8391045269180932,0.8223624654335538
0.8116450705979136,34,12214,0.8345438951847475,0.4775399564196574,,,
0.8141944032685462,35,12563,0.8369825784888081,0.4799542831317036,,,
0.8135244374972017,36,12912,0.8365513224710697,0.47952126207199397,,,
0.8145327636368977,37,13261,0.8371592032627757,0.4800995428143862,,,
0.8154663260823333,38,13610,0.8380944827905806,0.48103767098818223,,,
,39,13959,,,0.49331476022361337,0.8467397992656118,0.83414058874149
0.8153218922437432,39,13959,0.838427347389384,0.48136218319963336,,,
0.8153797357335131,40,14308,0.8383324603586695,0.36095376922418543,,,
0.8148032683014527,41,14657,0.8378801198374368,0.48083016342804097,,,
0.8186121943345382,42,15006,0.8416810022106046,0.4846057121304807,,,
0.8171184507003827,43,15355,0.8405861023951796,0.4835200516612468,,,
,44,15704,,,0.48305676203906067,0.8363757519292949,0.8249865239209455
0.819525142112229,44,15704,0.8425190235335922,0.4854324599500581,,,
0.8186678517513766,45,16053,0.8412000147914043,0.4841128739657424,,,
0.8192374111929731,46,16402,0.8419805928718089,0.48488921417916747,,,
0.8136143943983366,47,16751,0.8365007466561551,0.4794641562874169,,,
0.817840794779168,48,17100,0.840628373409164,0.4835727968540657,,,
,49,17449,,,0.41000635271902003,0.7595493488624984,0.7380798641997978
0.8185932192214921,49,17449,0.8415762607447781,0.4844879732379727,,,
0.82153895249681,50,17798,0.8442163012486781,0.4871424733706922,,,
0.8206774430151995,51,18147,0.8437427118347678,0.4866566511907933,,,
0.8201287605700998,52,18496,0.8430802132850563,0.48600343702137067,,,
0.8236172520328728,53,18845,0.8465499720832896,0.4894660680628072,,,
,54,19194,,,0.404397127148235,0.7524455142154772,0.7332765182646183
0.8194458751077296,54,19194,0.8425255169480249,0.4854309055146535,,,
0.8233831454826288,55,19543,0.5641954413552046,0.4891996351725874,,,
0.8239851025250715,56,19892,0.8470544271373983,0.4899655728203867,,,
0.8245184605989209,57,20241,0.8477630835009111,0.4907047462825789,,,
0.82103565292577,58,20590,0.8437769787276224,0.4866792819898649,,,
,59,20939,,,0.4842984698208128,0.838308539803218,0.8212721418626225
0.8225733366258505,59,20939,0.8453732779068557,0.48828891926367507,,,
0.8246055537445155,60,21288,0.8474103263765854,0.49031365917572906,,,
0.8254662981005998,61,21637,0.8487294566536682,0.4916676640902377,,,
0.8263265615206392,62,21986,0.8496274633105518,0.4925579240847687,,,
0.8270212736375693,63,22335,0.8499446306676851,0.4928985783545974,,,
,64,22684,,,0.4958098914446845,0.84983585399431,0.8345338424833681
0.8254053722479964,64,22684,0.8485364145395977,0.49147083684317083,,,
0.8254406554651122,65,23033,0.8486904554695979,0.49162365643237466,,,
0.8266949585310708,66,23382,0.8495390326474297,0.49248387144854244,,,
0.8262454800756065,67,23731,0.8492221520279897,0.4921579855865377,,,
0.8236469607640131,68,24080,0.8467712598344663,0.48968555157794197,,,
,69,24429,,,0.4945782805489652,0.8484790367472619,0.834542907110534
0.8275075874219309,69,24429,0.8506051782451276,0.4935439766211118,,,
0.8278685080629363,70,24778,0.8511693135039784,0.4941295882802162,,,
0.8292796618617365,71,25127,0.8526911025036431,0.4956591850310687,,,
0.830008520437858,72,25476,0.8530542002847235,0.49605228649891303,,,
0.8282511145474233,73,25825,0.8515108555957389,0.4944699660277834,,,
,74,26174,,,0.4795300171944737,0.8325900875531136,0.8231353759765613
0.8284907518621842,74,26174,0.8517500849439368,0.494717065860869,,,
0.8308532627400831,75,26523,0.8540641924750363,0.4970566003050534,,,
0.8294080936464675,76,26872,0.8527084250902196,0.49569512908425334,,,
0.8312327212795486,77,27221,0.8543527650301759,0.4973678181970869,,,
0.8319014409893221,78,27570,0.8550723406362017,0.4981064208958532,,,
,79,27919,,,0.48982961015705445,0.8437616174607145,0.8269079227258651
0.8315256550523816,79,27919,0.8548828938086859,0.49790544409012233,,,
0.8314139030041188,80,28268,0.8544699666844502,0.49744986852662176,,,
0.8322552350325706,81,28617,0.8556393195134473,0.4986654844052809,,,
0.8319019000646377,82,28966,0.8551573338302945,0.49816805300381545,,,
0.8312036465095585,83,29315,0.8544425703349947,0.4974499687788861,,,
,84,29664,,,0.4856182046196785,0.8396565357334904,0.8270834743386435
0.833307391934545,84,29664,0.8566298301985675,0.49967294797833595,,,
0.8317872842608344,85,30013,0.8550686125256263,0.4980848175071384,,,
0.8318641684458384,86,30362,0.8551471852382091,0.4981396449627535,,,
0.8340504599847218,87,30711,0.5950152762325177,0.5120925795795611,,,
0.8351738610035367,88,31060,0.5742198218481906,0.5023875986701664,,,
,89,31409,,,0.489285798533031,0.8426408708970727,0.8309563362952493
0.8326387159462302,89,31409,0.5722959013823914,0.4999062924615647,,,
0.8314862838788837,90,31758,0.5776110102111195,0.501563635594662,,,
