train_mIoU,train_F1,step,train_OA,epoch,val_F1,val_OA,val_mIoU
0.30189217541708707,0.5019568429277667,348,0.7319139190936156,0,,,
0.3261928444737918,0.7895561133323619,697,0.7680781236009132,1,,,
0.3379689485651288,0.8064971663547297,1046,0.7845126264074811,2,,,
0.3561292879370159,0.831700027984349,1395,0.8090576346760833,3,,,
,,1744,,4,0.8389548915489242,0.8202692919438416,0.48476797705705826
0.3610213061678214,0.8383163648043512,1744,0.8154936957154368,4,,,
0.48809129633480536,0.563390080492197,2093,0.8221668582249506,5,,,
0.4944723789349228,0.5676323662929046,2442,0.8282707236216197,6,,,
0.4985313689954432,0.5702853785387657,2791,0.8321331428593413,7,,,
0.500686686194827,0.5717280292532173,3140,0.8341248083251253,8,,,
,,3489,,9,0.5737660292603668,0.8434093210956825,0.5069326664430092
0.501344869015683,0.5721315941639319,3489,0.8347610648518645,9,,,
0.3762610595436322,0.5723516939371732,3838,0.8351022233935685,10,,,
0.5039289768031813,0.5738140151769516,4187,0.8372108000397339,11,,,
0.5051792363683133,0.5746499069138219,4536,0.8385337239350151,12,,,
0.5053286555868919,0.5746908873703629,4885,0.838493784382555,13,,,
,,5234,,14,0.5772523756512195,0.8502490355236683,0.5123079388615773
0.38082609941509116,0.5762641825860274,5234,0.8407935986887758,14,,,
0.5080177620976701,0.5764377563486022,5583,0.8409980839507968,15,,,
0.5095160878133117,0.5774021431920534,5932,0.8425440747280174,16,,,
0.5094070785946528,0.5773259573465339,6281,0.842340245287876,17,,,
0.510910464464344,0.5783226553003994,6630,0.8437188265999954,18,,,
,,6979,,19,0.5797280662557898,0.8539631154277524,0.5163214191900213
0.3835994702566491,0.5786429850258729,6979,0.8442750509967092,19,,,
0.5133986049614269,0.5798781891455155,7328,0.8460395834849009,20,,,
0.5138417825619833,0.580180835302405,7677,0.8464461493287181,21,,,
0.38656691863110926,0.5812369556563574,8026,0.8479075828049448,22,,,
0.3859353433199253,0.5808088400944332,8375,0.8470205399914934,23,,,
,,8724,,24,0.5473796743785061,0.8182463693146645,0.4682385312765091
0.5192949564119228,0.5870934496575947,8724,0.849397566393658,24,,,
0.3936221944366055,0.5949342236793287,9073,0.8517288601500939,25,,,
0.4026746005677341,0.6145951007608826,9422,0.8548826201255819,26,,,
0.5493607964369226,0.6353445980266752,9771,0.8570400555017683,27,,,
0.5533839755623263,0.6396434767799398,10120,0.859423312211788,28,,,
,,10469,,29,0.5794300958259465,0.8315221201075172,0.4965548150266372
0.566528127930154,0.6591286395593786,10469,0.8623770246533062,29,,,
0.5689613673354487,0.6622654445124633,10818,0.8630512532668673,30,,,
