step,train_F1,epoch,train_OA,train_mIoU,val_OA,val_F1,val_mIoU
348,0.3151276304431321,0,0.4782806877420419,0.1573161681127498,,,
697,0.6495781788692817,1,0.4810187222281294,0.16033957407604316,,,
1046,0.32445862960673594,2,0.4802933395079691,0.1200734625684255,,,
1395,0.6485758200715384,3,0.4799202424407346,0.11998006061018367,,,
1744,,4,,,0.32797679334583796,0.49394958554885704,0.10932559778194617
1744,0.21645487754651446,4,0.48078260449078836,0.12019587960569372,,,
2093,0.32483903990378205,5,0.48099845733205354,0.12026418952985833,,,
2442,0.3247260444770021,6,0.48086906367523274,0.16029119047662826,,,
2791,0.32441827260198836,7,0.48020572170487097,0.16006858572052088,,,
3140,0.649426790391707,8,0.48085271184970446,0.16028423728323485,,,
3489,,9,,,0.32797679334583796,0.49394958554885704,0.10932559778194617
3489,0.6484919717725763,9,0.47982842737760784,0.1599428091258693,,,
3838,0.6491552866276479,10,0.4805550780200684,0.16018502600668952,,,
4187,0.32428310402527827,11,0.47990944324045254,0.159969849834564,,,
4536,0.6490045414631939,12,0.48038987648862813,0.16012995882954276,,,
4885,0.6495760260974961,13,0.48101636126936326,0.1603387870897878,,,
5234,,14,,,0.32797679334583796,0.49394958554885704,0.10932559778194617
5234,0.6484154611040932,14,0.4797446570628693,0.1599148856876231,,,
5583,0.6489536072481853,15,0.48033406604668466,0.1601113553488949,,,
5932,0.6487540629537825,16,0.4801154587535256,0.16003848625117523,,,
6281,0.6485154902739049,17,0.47985417931674196,0.15995139310558068,,,
6630,0.6486120313340688,18,0.4799598978037137,0.1599866326012379,,,
6979,,19,,,0.32797679334583796,0.49394958554885704,0.10932559778194617
6979,0.32444289073136456,19,0.4802578376835601,0.16008619409488245,,,
7328,0.3244214805180829,20,0.4801945071507319,0.16006721123630707,,,
7677,0.3243614481916927,21,0.48004823701087923,0.16002038306369662,,,
8026,0.324277312760025,22,0.47985428862038854,0.15995697538255765,,,
8375,0.32484022963516207,23,0.4806594848632812,0.16028147496585546,,,
8724,,24,,,0.3281985745571622,0.24753163633364247,0.10951165724012964
8724,0.3252094569943911,24,0.4800608287909652,0.16026621776097477,,,
9073,0.3314997644741841,25,0.48073516670817285,0.16222745195061358,,,
9422,0.32922727058085777,26,0.47983916099570195,0.16138596970523317,,,
9771,0.33884848555216673,27,0.4809724649248969,0.1644621270247756,,,
10120,0.36602124608285996,28,0.48195558564369173,0.17294776797413527,,,
10469,,29,,,0.47575771218479196,0.4828976288717731,0.21411227161589577
10469,0.45453624439411316,29,0.4738148249322841,0.2018364492010288,,,
